Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.00500,0.51227,0.07244,0.03377,0.01708,0.00241,0.00689,0.06014,0.00850
2,0.01999,1.00324,0.14188,0.11799,0.06243,0.00883,0.03945,0.07746,0.01095
3,0.02000,0.87057,0.12311,0.14877,0.10986,0.01553,0.04117,0.06261,0.00885
4,0.01999,0.92682,0.13107,0.14513,0.11444,0.01618,0.00309,0.08218,0.01162
5,0.02000,0.84083,0.11891,0.13618,0.10449,0.01477,0.00073,0.08188,0.01158
6,0.00700,0.80504,0.11385,0.14111,0.09679,0.01368,0.00339,0.07085,0.01002
7,0.00499,0.70881,0.10024,0.13219,0.09026,0.01276,0.01913,0.07467,0.01056
8,0.00299,0.68668,0.09711,0.12113,0.08145,0.01151,0.03120,0.05942,0.00840
9,0.01500,0.74881,0.10589,0.09691,0.06968,0.00985,0.01769,0.06404,0.00905
10,0.01999,0.83053,0.11745,0.09931,0.06415,0.00907,0.02285,0.07618,0.01077
11,0.01199,0.94087,0.13306,0.11626,0.08754,0.01238,0.01793,0.05879,0.00831
12,0.02000,1.01009,0.14284,0.13047,0.10209,0.01443,0.00725,0.05679,0.00803
13,0.00300,1.01337,0.14331,0.12764,0.11331,0.01602,0.00106,0.06210,0.00878
14,0.01999,0.82963,0.11732,0.13008,0.10550,0.01492,0.00713,0.06392,0.00904
15,0.01999,0.90326,0.12774,0.13912,0.09705,0.01372,0.00350,0.06196,0.00876
16,0.00000,0.90669,0.12822,0.13553,0.09412,0.01331,0.00948,0.05410,0.00765
17,0.00799,0.89556,0.12665,0.13098,0.10924,0.01544,0.00958,0.07197,0.01017
18,0.01199,0.99621,0.14088,0.14803,0.12001,0.01697,0.01383,0.05465,0.00772
19,0.01799,0.78890,0.11156,0.14229,0.12146,0.01717,0.01051,0.07495,0.01060
