Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.00499,0.29516,0.04174,0.05031,0.00107,0.00015,0.08341,0.00238,0.00033
2,0.01799,0.38232,0.05406,0.22119,0.02131,0.00301,0.18377,0.04009,0.00567
3,0.01500,0.81757,0.11562,0.36633,0.07057,0.00998,0.05614,0.05647,0.00798
4,0.00200,0.75484,0.10675,0.41335,0.11843,0.01674,0.02865,0.09365,0.01324
5,0.01020,0.76164,0.10880,0.38330,0.06716,0.00959,0.03326,0.03820,0.00545
6,0.02040,0.80761,0.11537,0.32790,0.06902,0.00986,0.04009,0.03951,0.00564
7,0.01530,0.71992,0.10284,0.30679,0.06638,0.00948,0.00160,0.03934,0.00562
8,0.00306,0.82742,0.11820,0.29136,0.06862,0.00980,0.00771,0.03516,0.00502
9,0.00816,0.86090,0.12298,0.28583,0.06381,0.00911,0.00428,0.05058,0.00722
10,0.00816,0.79528,0.11361,0.27247,0.06295,0.00899,0.01319,0.03833,0.00547
11,0.00000,0.82826,0.11832,0.26819,0.06283,0.00897,0.00403,0.04004,0.00572
12,0.00204,0.78252,0.11178,0.26724,0.07062,0.01008,0.00732,0.03890,0.00555
13,0.00204,0.73394,0.10484,0.28259,0.05667,0.00809,0.01473,0.04226,0.00603
14,0.00204,0.67468,0.09638,0.28418,0.05466,0.00780,0.01155,0.03455,0.00493
15,0.00816,0.70249,0.10035,0.27644,0.06026,0.00860,0.00234,0.03074,0.00439
16,0.00510,0.72823,0.10403,0.28228,0.06193,0.00884,0.00944,0.04474,0.00639
17,0.00000,0.65121,0.09303,0.28578,0.07329,0.01047,0.00037,0.03837,0.00548
18,0.00000,0.71528,0.10218,0.28609,0.08266,0.01180,0.00132,0.04506,0.00643
19,0.00102,0.89194,0.12742,0.28462,0.07931,0.01133,0.00121,0.03435,0.00490
20,0.00816,0.82228,0.11746,0.29007,0.07326,0.01046,0.00931,0.04501,0.00643
21,0.00816,0.81693,0.11670,0.29731,0.06542,0.00934,0.00248,0.03238,0.00462
22,0.00510,0.96543,0.13791,0.29211,0.07018,0.01002,0.01004,0.03600,0.00514
23,0.01530,0.89631,0.12804,0.28762,0.06147,0.00878,0.00068,0.04026,0.00575
24,0.02040,0.73892,0.10556,0.28762,0.05407,0.00772,0.00320,0.03653,0.00521
25,0.02040,0.73747,0.10535,0.28766,0.05391,0.00770,0.00405,0.03829,0.00547
26,0.01530,0.76839,0.10977,0.28391,0.05050,0.00721,0.00268,0.03280,0.00468
27,0.01530,0.77381,0.11054,0.28272,0.04870,0.00695,0.00215,0.04403,0.00629
28,0.02040,0.70181,0.10025,0.28225,0.05818,0.00831,0.00588,0.06657,0.00951
29,0.01530,0.66349,0.09478,0.29271,0.09936,0.01419,0.01511,0.09263,0.01323
30,0.01530,0.69562,0.09937,0.29575,0.11245,0.01606,0.01695,0.10599,0.01514
31,0.02040,0.74955,0.10707,0.30001,0.11312,0.01616,0.01677,0.10293,0.01470
32,0.01530,0.77658,0.11094,0.29671,0.11320,0.01617,0.00645,0.10381,0.01483
33,0.01530,0.70524,0.10074,0.29412,0.11528,0.01646,0.01441,0.09862,0.01408
34,0.02040,0.69111,0.09873,0.29586,0.12121,0.01731,0.01595,0.09461,0.01351
35,0.01530,0.66893,0.09556,0.29949,0.12854,0.01836,0.01181,0.08650,0.01235
36,0.01041,0.73150,0.10558,0.28753,0.06299,0.00909,0.00713,0.03004,0.00433
37,0.00520,0.71757,0.10357,0.29403,0.06217,0.00897,0.00015,0.04269,0.00616
38,0.00000,0.73534,0.10613,0.29445,0.04737,0.00683,0.01033,0.04226,0.00610
39,0.00000,0.78819,0.11376,0.30380,0.06767,0.00976,0.00544,0.05673,0.00818
40,0.00208,0.71908,0.10379,0.29979,0.10524,0.01519,0.01670,0.03649,0.00526
41,0.00520,0.70734,0.10209,0.29793,0.12548,0.01811,0.00236,0.02971,0.00428
42,0.01276,0.66624,0.09718,0.28137,0.04743,0.00691,0.00124,0.03101,0.00452
43,0.02127,0.59695,0.08707,0.28352,0.04886,0.00712,0.00335,0.02800,0.00408
44,0.02127,0.61572,0.08981,0.28563,0.05023,0.00732,0.00171,0.03510,0.00512
45,0.00212,0.57120,0.08331,0.28334,0.05155,0.00752,0.00196,0.03281,0.00478
46,0.00531,0.72465,0.10570,0.27802,0.04856,0.00708,0.00487,0.03571,0.00520
47,0.01276,0.78689,0.11477,0.27657,0.04311,0.00628,0.00530,0.03764,0.00549
48,0.01914,0.70797,0.10326,0.28327,0.04397,0.00641,0.00394,0.02923,0.00426
49,0.02127,0.73930,0.10783,0.28311,0.03525,0.00514,0.00159,0.03564,0.00519
50,0.00106,0.76014,0.11087,0.28285,0.03819,0.00557,0.00125,0.02607,0.00380
51,0.00319,0.77083,0.11243,0.28217,0.03372,0.00491,0.00080,0.02891,0.00421
52,0.00744,0.91156,0.13296,0.28294,0.03201,0.00467,0.00044,0.02902,0.00423
53,0.01595,0.89115,0.12998,0.28136,0.03350,0.00488,0.00114,0.02800,0.00408
54,0.02127,0.77037,0.11237,0.28986,0.03393,0.00495,0.00668,0.02840,0.00414
55,0.00531,0.71035,0.10361,0.28922,0.03132,0.00456,0.00461,0.02904,0.00423
56,0.00212,0.57138,0.08334,0.28634,0.03327,0.00485,0.00361,0.02865,0.00417
57,0.00851,0.56496,0.08240,0.28322,0.03778,0.00551,0.00124,0.02714,0.00395
58,0.00531,0.60645,0.08846,0.28406,0.03913,0.00570,0.00239,0.03412,0.00497
59,0.00000,0.63673,0.09287,0.27473,0.05052,0.00737,0.00808,0.03314,0.00483
60,0.00000,0.65216,0.09512,0.27828,0.04184,0.00610,0.00103,0.03962,0.00577
61,0.00000,0.66404,0.09686,0.28457,0.04854,0.00708,0.00081,0.04697,0.00685
62,0.00212,0.59268,0.08645,0.30145,0.07219,0.01053,0.00330,0.03844,0.00560
63,0.01382,0.67711,0.09876,0.29840,0.09734,0.01419,0.01423,0.03059,0.00446
64,0.02127,0.90828,0.13248,0.29773,0.10509,0.01533,0.00647,0.03146,0.00458
