Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.00200,0.35916,0.05079,0.03695,0.01063,0.00150,0.02904,0.05348,0.00756
2,0.00500,0.88211,0.12474,0.11487,0.05011,0.00708,0.04232,0.05525,0.00781
3,0.00300,0.93163,0.13175,0.13297,0.09596,0.01357,0.01716,0.05958,0.00842
4,0.01999,0.92870,0.13133,0.15291,0.09848,0.01392,0.00515,0.06833,0.00966
5,0.01700,1.00616,0.14229,0.15411,0.10615,0.01501,0.00201,0.06310,0.00892
6,0.00200,1.00254,0.14178,0.15646,0.09714,0.01373,0.00215,0.07078,0.01001
7,0.00500,0.85394,0.12076,0.14967,0.09634,0.01362,0.00868,0.07279,0.01029
8,0.00200,1.07419,0.15191,0.13960,0.10049,0.01421,0.01926,0.06926,0.00979
9,0.02000,1.07786,0.15243,0.13034,0.10225,0.01446,0.00185,0.06692,0.00946
10,0.00799,1.05092,0.14862,0.12757,0.09425,0.01332,0.01085,0.07026,0.00993
11,0.02000,0.95937,0.13567,0.13400,0.08836,0.01249,0.01270,0.07346,0.01038
12,0.01999,0.68242,0.09650,0.15467,0.10365,0.01465,0.02197,0.06724,0.00951
13,0.01500,0.90698,0.12826,0.15954,0.11369,0.01607,0.00173,0.05815,0.00822
14,0.01299,0.90331,0.12774,0.16860,0.11060,0.01564,0.01264,0.07640,0.01080
15,0.00500,0.88742,0.12550,0.16788,0.11623,0.01643,0.00641,0.06609,0.00934
16,0.00300,0.94986,0.13433,0.16941,0.12564,0.01776,0.00115,0.06537,0.00924
17,0.00000,0.96896,0.13703,0.17641,0.13258,0.01875,0.01211,0.06389,0.00903
18,0.00499,1.02441,0.14487,0.18988,0.13330,0.01885,0.01405,0.07174,0.01014
19,0.00000,1.07359,0.15182,0.20520,0.12911,0.01826,0.00068,0.07808,0.01104
20,0.00499,1.17389,0.16601,0.20161,0.13225,0.01870,0.01165,0.05862,0.00829
21,0.01500,1.03731,0.14669,0.21041,0.12913,0.01826,0.00824,0.07091,0.01002
22,0.02000,0.96057,0.13584,0.21582,0.12489,0.01766,0.00444,0.06172,0.00872
23,0.01500,0.87179,0.12329,0.20567,0.12097,0.01710,0.01016,0.07617,0.01077
24,0.02000,1.02366,0.14476,0.18827,0.13446,0.01901,0.00710,0.06458,0.00913
25,0.01999,1.10679,0.15652,0.18523,0.14196,0.02007,0.00082,0.06210,0.00878
26,0.02000,1.06780,0.15100,0.18234,0.13197,0.01866,0.00866,0.07206,0.01019
27,0.01499,0.98540,0.13935,0.17612,0.13235,0.01871,0.01038,0.04958,0.00701
28,0.01999,0.84734,0.11983,0.17715,0.12382,0.01751,0.00248,0.06101,0.00862
29,0.01500,0.89488,0.12655,0.17653,0.14067,0.01989,0.00351,0.06139,0.00868
30,0.01499,0.99243,0.14035,0.17447,0.15114,0.02137,0.01234,0.06604,0.00933
31,0.01499,0.97510,0.13790,0.18385,0.15652,0.02213,0.01602,0.07475,0.01057
32,0.01000,1.08286,0.15314,0.19581,0.16216,0.02293,0.00584,0.06204,0.00877
33,0.01500,1.01736,0.14387,0.20497,0.16248,0.02297,0.00151,0.07386,0.01044
34,0.02000,0.98828,0.13976,0.21137,0.15772,0.02230,0.00691,0.06316,0.00893
35,0.02000,0.96767,0.13685,0.21342,0.15817,0.02236,0.01074,0.06563,0.00928
36,0.02000,0.83306,0.11781,0.20107,0.15169,0.02145,0.01148,0.05746,0.00812
37,0.01999,0.97128,0.13736,0.19609,0.16165,0.02286,0.01404,0.06228,0.00880
38,0.01500,0.97274,0.13756,0.20714,0.15588,0.02204,0.01959,0.07266,0.01027
39,0.02000,0.98529,0.13934,0.22149,0.15748,0.02227,0.00451,0.05817,0.00822
40,0.00500,0.98900,0.13986,0.21393,0.14686,0.02076,0.01142,0.07022,0.00993
41,0.00000,1.07735,0.15236,0.20939,0.15529,0.02196,0.00172,0.05945,0.00840
42,0.00199,0.93760,0.13259,0.21288,0.15499,0.02191,0.00754,0.06488,0.00917
43,0.01699,1.16548,0.16482,0.21517,0.14850,0.02100,0.00523,0.05921,0.00837
44,0.00300,1.04601,0.14792,0.21914,0.14235,0.02013,0.01616,0.06692,0.00946
45,0.02000,1.10873,0.15679,0.21280,0.15489,0.02190,0.00196,0.05551,0.00785
46,0.00499,0.90217,0.12758,0.22012,0.15550,0.02199,0.00093,0.06114,0.00864
47,0.00199,1.08848,0.15393,0.21585,0.15327,0.02167,0.01770,0.06921,0.00978
48,0.01700,1.11940,0.15830,0.20432,0.15279,0.02160,0.01611,0.06619,0.00936
49,0.01799,1.10926,0.15687,0.20275,0.15557,0.02200,0.00752,0.06229,0.00880
