Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.0,0.0,0.0,0.00082,0.0,0.0,0.00062,.0,.0
2,0.0,0.0,0.0,0.00295,.0,.0,0.00164,0.0,0.0
3,0.0,0.0,0.0,0.00651,0.00000,0.00000,0.00265,.0,.0
4,0.0,0.0,0.0,0.01160,.0,.0,0.00366,0.00000,0.00000
5,0.0,0.02000,0.00282,0.01867,0.00397,0.00056,0.00554,0.00604,0.00085
6,0.0,0.05000,0.00707,0.02714,0.00858,0.00121,0.00561,0.00052,0.00007
7,0.0,0.03000,0.00424,0.03623,0.00672,0.00095,0.00663,0.00043,0.00006
8,0.0,0.0,0.0,0.04736,0.00924,0.00130,0.00812,0.00286,0.00040
9,0.00200,0.06705,0.00948,0.03963,0.01911,0.00270,0.02069,0.02005,0.00283
10,0.00500,0.15008,0.02122,0.03278,0.03678,0.00520,0.01635,0.00829,0.00117
11,0.00200,0.06705,0.00948,0.06741,0.03437,0.00486,0.02782,0.01383,0.00195
12,0.00000,0.15905,0.02249,0.09233,0.03357,0.00474,0.01091,0.01834,0.00259
13,0.00000,0.18083,0.02557,0.10771,0.03734,0.00528,0.00949,0.01384,0.00195
14,0.00099,0.11553,0.01633,0.12479,0.03657,0.00517,0.01196,0.01309,0.00185
15,0.00100,0.08915,0.01260,0.13652,0.03883,0.00549,0.00413,0.01538,0.00217
16,0.00100,0.12707,0.01797,0.14167,0.04321,0.00611,0.00254,0.01375,0.00194
17,0.00000,0.12083,0.01708,0.14426,0.04273,0.00604,0.00022,0.01455,0.00205
18,0.00199,0.09997,0.01413,0.14578,0.04264,0.00603,0.00218,0.01270,0.00179
19,0.00100,0.08971,0.01268,0.14611,0.04290,0.00606,0.00211,0.01555,0.00219
20,0.00000,0.12529,0.01772,0.14646,0.04435,0.00627,0.00333,0.01302,0.00184
21,0.00099,0.07175,0.01014,0.14796,0.04764,0.00673,0.00187,0.01449,0.00204
22,0.00000,0.10344,0.01462,0.14758,0.05034,0.00712,0.00217,0.01338,0.00189
23,0.00000,0.09055,0.01280,0.14895,0.04851,0.00686,0.00073,0.01344,0.00190
24,0.00000,0.09327,0.01319,0.14863,0.04947,0.00699,0.00150,0.01075,0.00152
25,0.0,0.08000,0.01131,0.15022,0.05007,0.00708,0.00023,0.01379,0.00195
26,0.00000,0.08774,0.01240,0.15202,0.05000,0.00707,0.00324,0.01162,0.00164
27,0.00000,0.07483,0.01058,0.15626,0.04906,0.00693,0.00248,0.01097,0.00155
28,0.00000,0.09055,0.01280,0.15618,0.04935,0.00697,0.00190,0.01104,0.00156
29,0.0,0.07745,0.01095,0.15422,0.04608,0.00651,0.00039,0.01095,0.00154
30,0.00000,0.08717,0.01232,0.15570,0.04545,0.00642,0.00220,0.01159,0.00163
