Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.01999,0.41231,0.05830,0.04985,0.00271,0.00038,0.07968,0.02214,0.00313
2,0.01999,0.24228,0.03426,0.21704,0.02728,0.00385,0.16812,0.06847,0.00968
3,0.01500,0.60829,0.08602,0.35423,0.07355,0.01040,0.03519,0.06285,0.00888
4,0.00499,0.70776,0.10009,0.38979,0.11814,0.01670,0.06147,0.07554,0.01068
5,0.01000,0.78911,0.11159,0.36995,0.20208,0.02857,0.06180,0.09792,0.01384
6,0.00204,1.06306,0.15186,0.26324,0.06869,0.00981,0.06445,0.05520,0.00788
7,0.02040,1.06349,0.15192,0.20502,0.06110,0.00872,0.02271,0.05559,0.00794
8,0.02040,1.11716,0.15959,0.17223,0.05515,0.00787,0.01338,0.05528,0.00789
9,0.00510,1.05850,0.15121,0.15473,0.06153,0.00879,0.00823,0.04498,0.00642
10,0.02040,1.17897,0.16842,0.13817,0.05876,0.00839,0.00597,0.05365,0.00766
11,0.01530,1.17491,0.16784,0.13625,0.05236,0.00748,0.00805,0.05449,0.00778
12,0.00816,1.07349,0.15335,0.13272,0.05357,0.00765,0.00647,0.05038,0.00719
13,0.02040,1.01387,0.14483,0.13253,0.06117,0.00873,0.00202,0.05821,0.00831
14,0.02040,1.04705,0.14957,0.14427,0.08152,0.01164,0.00298,0.07302,0.01043
15,0.00510,1.17087,0.16726,0.14697,0.11974,0.01710,0.00888,0.04728,0.00675
16,0.02040,1.17172,0.16738,0.15059,0.13426,0.01918,0.00657,0.06105,0.00872
17,0.02040,1.10453,0.15779,0.15634,0.13277,0.01896,0.01277,0.06349,0.00907
18,0.01020,1.06617,0.15231,0.16515,0.11803,0.01686,0.00778,0.05876,0.00839
19,0.02040,1.12162,0.16023,0.15960,0.08313,0.01187,0.00743,0.07399,0.01057
20,0.02040,0.99774,0.14253,0.16314,0.06472,0.00924,0.02443,0.06147,0.00878
21,0.00510,1.07533,0.15361,0.16692,0.10363,0.01480,0.00417,0.06785,0.00969
22,0.02040,1.12761,0.16108,0.17430,0.16008,0.02286,0.01365,0.07653,0.01093
23,0.01562,1.06522,0.15375,0.16530,0.07397,0.01067,0.00783,0.04851,0.00700
24,0.00729,1.18708,0.17134,0.16810,0.07989,0.01153,0.00109,0.04482,0.00646
25,0.01041,1.28419,0.18535,0.17386,0.10518,0.01518,0.00823,0.05915,0.00853
26,0.01041,1.14345,0.16504,0.17976,0.14115,0.02037,0.00387,0.04953,0.00714
27,0.01562,1.05372,0.15209,0.18192,0.16172,0.02334,0.00395,0.03822,0.00551
28,0.02083,1.07910,0.15575,0.17817,0.16022,0.02312,0.00052,0.04416,0.00637
29,0.02083,1.15437,0.16662,0.18177,0.14060,0.02029,0.00601,0.04312,0.00622
30,0.02083,1.27163,0.18354,0.18479,0.11558,0.01668,0.00172,0.04035,0.00582
31,0.01562,1.26219,0.18218,0.18910,0.09932,0.01433,0.00461,0.05246,0.00757
32,0.01562,1.14637,0.16546,0.18957,0.11150,0.01609,0.00343,0.06378,0.00920
33,0.02083,1.19176,0.17201,0.19980,0.13149,0.01898,0.00654,0.04897,0.00706
34,0.02083,1.26210,0.18216,0.20520,0.13933,0.02011,0.00227,0.05018,0.00724
35,0.01562,1.13922,0.16443,0.20896,0.13551,0.01955,0.00085,0.04103,0.00592
36,0.02083,1.13067,0.16319,0.20309,0.12596,0.01818,0.00038,0.05428,0.00783
37,0.02083,1.16063,0.16752,0.19504,0.12048,0.01739,0.00782,0.07701,0.01111
38,0.02083,1.08650,0.15682,0.18069,0.14600,0.02107,0.01504,0.10678,0.01541
39,0.01595,1.12131,0.16356,0.17137,0.06236,0.00909,0.02282,0.09064,0.01322
40,0.02127,1.15190,0.16802,0.18597,0.13344,0.01946,0.01141,0.09984,0.01456
41,0.02127,1.16891,0.17050,0.18494,0.14127,0.02060,0.00886,0.09327,0.01360
42,0.00869,1.23870,0.18263,0.15757,0.05186,0.00764,0.00579,0.04015,0.00592
43,0.01630,1.04834,0.15457,0.15324,0.05173,0.00762,0.00100,0.04553,0.00671
44,0.02173,1.07378,0.15832,0.15234,0.05189,0.00765,0.00058,0.03342,0.00492
45,0.01086,1.26851,0.18703,0.15652,0.06057,0.00893,0.00849,0.04276,0.00630
46,0.01630,1.16194,0.17131,0.16776,0.05794,0.00854,0.01000,0.03904,0.00575
47,0.02173,1.20990,0.17839,0.17579,0.05976,0.00881,0.00239,0.03530,0.00520
48,0.02173,1.14220,0.16840,0.17844,0.05458,0.00804,0.00153,0.04315,0.00636
49,0.01630,1.02554,0.15120,0.18203,0.05066,0.00747,0.00329,0.03898,0.00574
50,0.02173,1.05024,0.15484,0.17600,0.05910,0.00871,0.01179,0.04192,0.00618
51,0.02173,1.04411,0.15394,0.16620,0.05961,0.00878,0.00214,0.03555,0.00524
52,0.01847,1.02826,0.15160,0.16909,0.05960,0.00878,0.00693,0.04065,0.00599
53,0.01630,1.14754,0.16919,0.16878,0.05955,0.00878,0.00115,0.03935,0.00580
54,0.00760,1.05294,0.15524,0.17330,0.06411,0.00945,0.00662,0.04418,0.00651
55,0.00326,1.03736,0.15295,0.17922,0.06321,0.00931,0.00709,0.03854,0.00568
