Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.0,0.0,0.0,0.00082,0.0,0.0,0.00062,.0,.0
2,0.00300,0.11018,0.01558,0.01977,0.01823,0.00257,0.02799,0.02855,0.00403
3,0.00600,0.24179,0.03419,0.05573,0.04866,0.00688,0.01931,0.01846,0.00261
4,0.00000,0.15165,0.02144,0.07497,0.04873,0.00689,0.01241,0.02640,0.00373
5,0.00300,0.22503,0.03182,0.10005,0.04709,0.00666,0.01942,0.02301,0.00325
6,0.00300,0.21199,0.02998,0.11991,0.04205,0.00594,0.00873,0.02698,0.00381
7,0.00000,0.22449,0.03174,0.12952,0.04263,0.00602,0.00421,0.02257,0.00319
8,0.00000,0.19849,0.02807,0.13470,0.04688,0.00663,0.00179,0.02468,0.00349
9,0.00300,0.18719,0.02647,0.13551,0.04728,0.00668,0.00108,0.02431,0.00343
10,0.00699,0.17748,0.02510,0.13694,0.04389,0.00620,0.00318,0.02200,0.00311
11,0.00000,0.17888,0.02529,0.13874,0.03657,0.00517,0.00252,0.02395,0.00338
12,0.00099,0.17790,0.02515,0.13722,0.04077,0.00576,0.00190,0.02053,0.00290
13,0.00000,0.15427,0.02181,0.14092,0.04487,0.00634,0.00129,0.02114,0.00299
14,0.00099,0.13434,0.01899,0.14053,0.04821,0.00681,0.00089,0.02249,0.00318
15,0.00099,0.19351,0.02736,0.14286,0.05173,0.00731,0.00403,0.01768,0.00250
16,0.00000,0.15937,0.02253,0.14821,0.04991,0.00705,0.00362,0.02293,0.00324
17,0.00000,0.12688,0.01794,0.15266,0.05116,0.00723,0.00287,0.01870,0.00264
18,0.00000,0.15198,0.02149,0.15570,0.05081,0.00718,0.00045,0.02319,0.00328
19,0.00000,0.17233,0.02437,0.15566,0.05494,0.00776,0.00043,0.02269,0.00320
20,0.00000,0.12409,0.01754,0.15606,0.05667,0.00801,0.00178,0.02408,0.00340
21,0.00000,0.11489,0.01624,0.15551,0.06024,0.00851,0.00156,0.02104,0.00297
22,0.00000,0.17146,0.02424,0.16088,0.05535,0.00782,0.00517,0.02513,0.00355
23,0.00000,0.17233,0.02437,0.16668,0.05217,0.00737,0.00014,0.02481,0.00350
24,0.00000,0.16673,0.02357,0.17055,0.05641,0.00797,0.00450,0.03385,0.00478
25,0.00000,0.17464,0.02469,0.17140,0.07448,0.01053,0.01000,0.03542,0.00501
26,0.00300,0.15665,0.02215,0.17325,0.09893,0.01399,0.00265,0.03164,0.00447
27,0.00000,0.13304,0.01881,0.17639,0.12569,0.01777,0.00328,0.03470,0.00490
28,0.00200,0.22537,0.03187,0.17470,0.15286,0.02161,0.00222,0.02839,0.00401
29,0.00306,0.18361,0.02623,0.15985,0.07229,0.01032,0.00492,0.02612,0.00373
30,0.00000,0.14914,0.02130,0.17037,0.05875,0.00839,0.00402,0.03015,0.00430
31,0.00306,0.17508,0.02501,0.18147,0.05508,0.00786,0.00794,0.02070,0.00295
32,0.00510,0.16940,0.02420,0.18837,0.05427,0.00775,0.00182,0.02575,0.00367
