Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.0,0.0,0.0,0.00082,0.0,0.0,0.00062,.0,.0
2,0.00299,0.10602,0.01499,0.01831,0.01805,0.00255,0.02570,0.02827,0.00399
3,0.00099,0.22326,0.03157,0.05328,0.05076,0.00717,0.01970,0.02335,0.00330
4,0.00199,0.20565,0.02908,0.07501,0.05939,0.00840,0.01325,0.02269,0.00320
5,0.00000,0.16462,0.02328,0.09755,0.06130,0.00867,0.01752,0.02470,0.00349
6,0.00100,0.19117,0.02703,0.11372,0.05341,0.00755,0.00484,0.02646,0.00374
7,0.00099,0.19886,0.02812,0.12062,0.04765,0.00673,0.00469,0.02579,0.00364
8,0.00000,0.17435,0.02465,0.12998,0.04766,0.00674,0.00587,0.02104,0.00297
9,0.00000,0.16309,0.02306,0.13275,0.04972,0.00703,0.00040,0.02084,0.00294
10,0.00099,0.21177,0.02994,0.13278,0.04921,0.00695,0.00030,0.02464,0.00348
11,0.00099,0.18234,0.02578,0.13313,0.04690,0.00663,0.00061,0.02741,0.00387
12,0.00000,0.19824,0.02803,0.13671,0.05203,0.00735,0.00610,0.02129,0.00301
13,0.00099,0.15763,0.02229,0.14615,0.05076,0.00717,0.00713,0.02285,0.00323
14,0.00000,0.14832,0.02097,0.15412,0.05281,0.00746,0.00482,0.02196,0.00310
15,0.00099,0.15539,0.02197,0.16131,0.05851,0.00827,0.00564,0.01436,0.00203
16,0.00000,0.10440,0.01476,0.16759,0.05549,0.00784,0.00251,0.02849,0.00403
17,0.00000,0.18708,0.02645,0.16653,0.06350,0.00898,0.00424,0.02292,0.00324
18,0.00100,0.17420,0.02463,0.16462,0.06371,0.00901,0.00120,0.02282,0.00322
19,0.00499,0.13720,0.01940,0.16683,0.06193,0.00875,0.00121,0.01907,0.00269
20,0.00300,0.14812,0.02094,0.16758,0.06516,0.00921,0.00158,0.01793,0.00253
21,0.0,0.12569,0.01777,0.16557,0.06597,0.00933,0.00585,0.02575,0.00364
22,0.00000,0.16340,0.02310,0.16129,0.06796,0.00961,0.00106,0.02345,0.00331
23,0.00000,0.19183,0.02712,0.16497,0.06669,0.00943,0.00099,0.03059,0.00432
24,0.00099,0.16446,0.02325,0.17108,0.06575,0.00929,0.00754,0.04344,0.00614
25,0.00199,0.17232,0.02437,0.17927,0.09190,0.01299,0.00998,0.05513,0.00779
26,0.00000,0.19824,0.02803,0.18606,0.15618,0.02208,0.00829,0.06860,0.00970
27,0.00102,0.15987,0.02283,0.16526,0.07578,0.01082,0.00447,0.02697,0.00385
28,0.00204,0.18404,0.02629,0.16892,0.07116,0.01016,0.00132,0.02159,0.00308
29,0.00102,0.13570,0.01938,0.16964,0.06792,0.00970,0.00105,0.02974,0.00424
30,0.00000,0.15843,0.02263,0.17253,0.06309,0.00901,0.00346,0.02365,0.00337
31,0.00000,0.13887,0.01983,0.17213,0.06068,0.00866,0.00106,0.01829,0.00261
32,0.00102,0.11539,0.01648,0.17287,0.05971,0.00853,0.00589,0.02715,0.00387
33,0.00000,0.15286,0.02183,0.17575,0.06361,0.00908,0.00351,0.02633,0.00376
34,0.00000,0.16598,0.02371,0.17746,0.06223,0.00889,0.00127,0.02439,0.00348
35,0.00204,0.14671,0.02095,0.18027,0.06170,0.00881,0.00457,0.02159,0.00308
36,0.00000,0.16659,0.02379,0.18131,0.06210,0.00887,0.00426,0.01990,0.00284
37,0.00102,0.14159,0.02022,0.17657,0.06930,0.00990,0.00178,0.02028,0.00289
38,0.00102,0.10075,0.01439,0.17706,0.06770,0.00967,0.00125,0.02430,0.00347
39,0.00204,0.12493,0.01784,0.17661,0.06768,0.00966,0.00183,0.03557,0.00508
40,0.00306,0.18250,0.02607,0.17717,0.07018,0.01002,0.00833,0.03846,0.00549
41,0.00510,0.16075,0.02296,0.17934,0.05940,0.00848,0.00857,0.03004,0.00429
42,0.00000,0.13248,0.01892,0.17489,0.06284,0.00897,0.00205,0.02671,0.00381
43,0.00204,0.15809,0.02258,0.17439,0.05820,0.00831,0.00175,0.02855,0.00407
44,0.00306,0.15333,0.02190,0.17535,0.05247,0.00749,0.00690,0.02822,0.00403
45,0.00000,0.14033,0.02004,0.18193,0.05358,0.00765,0.01354,0.02594,0.00370
46,0.00000,0.14392,0.02056,0.18680,0.06402,0.00914,0.00389,0.02961,0.00423
47,0.00000,0.13665,0.01952,0.19231,0.06209,0.00887,0.00043,0.04346,0.00620
48,0.00000,0.22700,0.03242,0.20404,0.06072,0.00867,0.00273,0.03557,0.00508
49,0.00000,0.23211,0.03315,0.20066,0.07654,0.01093,0.00941,0.02550,0.00364
50,0.00000,0.18488,0.02641,0.18884,0.08202,0.01171,0.00101,0.04678,0.00668
51,0.00102,0.19729,0.02818,0.19158,0.06304,0.00900,0.00187,0.05209,0.00744
52,0.0,0.17956,0.02565,0.18722,0.07141,0.01020,0.00195,0.03402,0.00486
53,0.00000,0.17408,0.02486,0.18957,0.06088,0.00869,0.00730,0.03877,0.00553
54,0.00204,0.19455,0.02779,0.18758,0.06110,0.00872,0.00140,0.04680,0.00668
55,0.0,0.17871,0.02553,0.18651,0.05370,0.00767,0.00810,0.03688,0.00526
56,0.00102,0.15665,0.02237,0.18341,0.05992,0.00856,0.00627,0.03602,0.00514
57,0.00102,0.22326,0.03189,0.17796,0.07142,0.01020,0.00528,0.03519,0.00502
58,0.0,0.15016,0.02145,0.17008,0.07223,0.01031,0.00143,0.05220,0.00745
59,0.00000,0.18126,0.02589,0.17523,0.06759,0.00965,0.00841,0.04721,0.00674
60,0.00000,0.24557,0.03508,0.18826,0.06573,0.00939,0.01151,0.03424,0.00489
61,0.00102,0.21629,0.03089,0.19379,0.06158,0.00879,0.00135,0.04982,0.00711
62,0.00000,0.18680,0.02668,0.19243,0.05871,0.00838,0.00721,0.05670,0.00810
63,0.00306,0.20810,0.02972,0.18979,0.07333,0.01047,0.00602,0.05905,0.00843
64,0.00306,0.25342,0.03620,0.20161,0.06512,0.00930,0.01143,0.06433,0.00919
65,0.00000,0.17728,0.02532,0.20257,0.10452,0.01493,0.01013,0.07189,0.01027
66,0.00102,0.20615,0.02945,0.20814,0.17845,0.02549,0.00236,0.08590,0.01227
67,0.00104,0.19986,0.02884,0.18288,0.07787,0.01123,0.00562,0.05358,0.00773
68,0.00104,0.24505,0.03537,0.18729,0.07982,0.01152,0.00477,0.04282,0.00618
69,0.00312,0.21198,0.03059,0.18459,0.08256,0.01191,0.01065,0.04110,0.00593
70,0.00312,0.18125,0.02616,0.17682,0.07364,0.01062,0.00818,0.05685,0.00820
71,0.00000,0.17017,0.02456,0.16965,0.06134,0.00885,0.00588,0.07433,0.01072
72,0.00208,0.24978,0.03605,0.17202,0.07306,0.01054,0.00523,0.05961,0.00860
73,0.00312,0.22670,0.03272,0.18223,0.08284,0.01195,0.00533,0.03599,0.00519
74,0.00208,0.19282,0.02783,0.18238,0.07971,0.01150,0.00574,0.05132,0.00740
75,0.00312,0.17242,0.02488,0.17674,0.06447,0.00930,0.00081,0.07351,0.01061
76,0.00416,0.20560,0.02967,0.17307,0.08877,0.01281,0.00019,0.08174,0.01179
77,0.00104,0.17750,0.02562,0.19751,0.12716,0.01835,0.00763,0.08121,0.01172
78,0.00104,0.21638,0.03123,0.21599,0.21290,0.03073,0.01221,0.09554,0.01379
79,0.00000,0.18736,0.02733,0.20190,0.16527,0.02410,0.00982,0.06822,0.00995
80,0.00108,0.29607,0.04365,0.19105,0.08614,0.01270,0.01042,0.07588,0.01118
81,0.00000,0.27465,0.04049,0.21965,0.11449,0.01688,0.02092,0.09538,0.01406
82,0.00108,0.29460,0.04343,0.24535,0.20233,0.02983,0.02271,0.12239,0.01804
83,0.00111,0.14355,0.02140,0.23616,0.23080,0.03440,0.01533,0.10858,0.01618
84,0.00000,0.13483,0.02032,0.19182,0.07906,0.01191,0.00292,0.06575,0.00991
85,0.00113,0.19612,0.02956,0.19490,0.09068,0.01367,0.00243,0.05529,0.00833
86,0.00113,0.22575,0.03403,0.21019,0.10008,0.01508,0.00194,0.05033,0.00758
87,0.00000,0.28821,0.04344,0.22137,0.11154,0.01681,0.00605,0.03815,0.00575
88,0.0,0.22962,0.03461,0.21983,0.11624,0.01752,0.00701,0.05198,0.00783
89,0.00113,0.14712,0.02218,0.20819,0.11780,0.01776,0.01096,0.07289,0.01098
90,0.00340,0.15897,0.02396,0.20279,0.13402,0.02020,0.00917,0.08488,0.01279
91,0.00340,0.17168,0.02588,0.21930,0.17424,0.02626,0.01324,0.07844,0.01182
92,0.00232,0.19557,0.02982,0.21894,0.20487,0.03124,0.01254,0.08031,0.01224
93,0.00238,0.12533,0.01933,0.19277,0.06277,0.00968,0.00681,0.03288,0.00507
94,0.00238,0.19146,0.02954,0.19113,0.06635,0.01023,0.00799,0.02554,0.00394
95,0.00357,0.19067,0.02942,0.18207,0.06790,0.01047,0.00072,0.03408,0.00525
96,0.00119,0.16347,0.02522,0.17650,0.06783,0.01046,0.00767,0.03555,0.00548
97,0.00119,0.18273,0.02819,0.17665,0.07026,0.01084,0.00345,0.03196,0.00493
98,0.0,0.14597,0.02252,0.17309,0.07173,0.01106,0.00650,0.05285,0.00815
99,0.00000,0.19940,0.03076,0.18556,0.06570,0.01013,0.00281,0.04923,0.00759
100,0.00119,0.19895,0.03069,0.20216,0.07274,0.01122,0.00329,0.03638,0.00561
101,0.00357,0.21640,0.03339,0.21222,0.06999,0.01079,0.00209,0.04898,0.00755
102,0.00357,0.18815,0.02903,0.20894,0.09164,0.01414,0.00722,0.07387,0.01139
