Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.00500,0.35117,0.04966,0.04078,0.00843,0.00119,0.03858,0.05404,0.00764
2,0.00099,0.94129,0.13311,0.13617,0.04036,0.00570,0.05529,0.05607,0.00792
3,0.00199,0.72704,0.10281,0.17172,0.08983,0.01270,0.02722,0.05560,0.00786
4,0.01000,0.68168,0.09640,0.18540,0.11749,0.01661,0.01615,0.06838,0.00967
5,0.02000,0.87698,0.12402,0.19909,0.12240,0.01731,0.00334,0.07282,0.01029
6,0.00299,0.89299,0.12628,0.21635,0.11997,0.01696,0.00926,0.06282,0.00888
7,0.01000,0.74464,0.10530,0.22338,0.11484,0.01624,0.00213,0.06654,0.00941
8,0.01199,0.93131,0.13170,0.20670,0.11519,0.01629,0.02345,0.06464,0.00914
9,0.00200,1.13220,0.16011,0.18710,0.11738,0.01660,0.00892,0.06888,0.00974
10,0.00199,0.74477,0.10532,0.19337,0.10975,0.01552,0.02196,0.07249,0.01025
11,0.00799,0.85740,0.12125,0.20779,0.12273,0.01735,0.01273,0.06767,0.00957
12,0.01500,0.82378,0.11650,0.21172,0.12427,0.01757,0.00397,0.06852,0.00969
13,0.01999,0.91798,0.12982,0.22726,0.12405,0.01754,0.01572,0.06852,0.00969
14,0.02000,0.93289,0.13193,0.24065,0.12812,0.01812,0.00790,0.05915,0.00836
15,0.02000,0.98994,0.13999,0.24693,0.12994,0.01837,0.00341,0.06462,0.00913
16,0.00299,0.92813,0.13125,0.26512,0.13576,0.01920,0.01538,0.06345,0.00897
17,0.00500,0.77319,0.10934,0.27378,0.14588,0.02063,0.00019,0.06178,0.00873
18,0.01999,0.86440,0.12224,0.28045,0.15519,0.02194,0.00511,0.06734,0.00952
19,0.02000,0.96907,0.13704,0.29301,0.16119,0.02279,0.00666,0.06166,0.00872
20,0.01000,0.88464,0.12510,0.30243,0.16144,0.02283,0.01079,0.05952,0.00841
21,0.01999,0.94466,0.13359,0.31036,0.15891,0.02247,0.00144,0.06060,0.00857
22,0.02000,0.91328,0.12915,0.29946,0.15959,0.02256,0.01116,0.06687,0.00945
23,0.00799,0.91254,0.12905,0.29625,0.14673,0.02075,0.00202,0.07053,0.00997
24,0.01999,0.90299,0.12770,0.29567,0.13993,0.01978,0.00622,0.06718,0.00950
25,0.00499,1.01361,0.14334,0.30505,0.14498,0.02050,0.00931,0.06195,0.00876
