Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.01000,0.49295,0.06971,0.03843,0.01462,0.00206,0.02917,0.05964,0.00843
2,0.00300,0.89523,0.12660,0.13605,0.06338,0.00896,0.06868,0.07167,0.01013
3,0.01000,0.94899,0.13420,0.18409,0.12089,0.01709,0.04493,0.05781,0.00817
4,0.00199,1.00408,0.14199,0.21629,0.13338,0.01886,0.01222,0.08181,0.01157
5,0.02000,1.03662,0.14660,0.22953,0.12846,0.01816,0.00557,0.08425,0.01191
6,0.00199,0.89531,0.12661,0.23338,0.12382,0.01751,0.00347,0.07850,0.01110
7,0.00499,0.84936,0.12011,0.22343,0.13129,0.01856,0.01243,0.08086,0.01143
8,0.00800,1.09441,0.15477,0.20676,0.13554,0.01916,0.01620,0.08119,0.01148
9,0.02000,1.01069,0.14293,0.19134,0.13701,0.01937,0.00458,0.08397,0.01187
10,0.00299,0.93345,0.13201,0.19852,0.14242,0.02014,0.01814,0.08066,0.01140
11,0.00000,0.84958,0.12014,0.21556,0.16058,0.02271,0.01339,0.07461,0.01055
12,0.00999,0.86475,0.12229,0.24487,0.15571,0.02202,0.01623,0.07612,0.01076
13,0.00300,0.82203,0.11625,0.26027,0.15532,0.02196,0.01044,0.07747,0.01095
14,0.01799,0.86895,0.12288,0.26870,0.15482,0.02189,0.00345,0.07434,0.01051
15,0.01999,0.85111,0.12036,0.26705,0.16050,0.02269,0.01497,0.06285,0.00888
16,0.00700,0.82371,0.11649,0.24872,0.15412,0.02179,0.02379,0.05393,0.00762
17,0.00299,0.77261,0.10926,0.23019,0.15862,0.02243,0.00278,0.07649,0.01081
18,0.00500,0.87494,0.12373,0.22461,0.14607,0.02065,0.00089,0.06861,0.00970
19,0.01700,0.86588,0.12245,0.21677,0.13102,0.01853,0.00225,0.06591,0.00932
20,0.01800,0.84621,0.11967,0.21504,0.13992,0.01978,0.00355,0.06798,0.00961
21,0.00099,0.97048,0.13724,0.22618,0.14526,0.02054,0.01752,0.05833,0.00824
