Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.01470,0.42866,0.10396,0.04096,0.00867,0.00210,0.02010,0.06416,0.01556
2,0.05882,1.00311,0.24329,0.13278,0.05220,0.01266,0.04391,0.06493,0.01574
3,0.00882,0.78912,0.19138,0.14381,0.09383,0.02275,0.01995,0.07000,0.01697
4,0.05882,0.84405,0.20471,0.13941,0.07932,0.01923,0.00398,0.07265,0.01762
5,0.04411,0.85627,0.20767,0.14445,0.07896,0.01915,0.01518,0.07036,0.01706
6,0.02352,0.71663,0.17380,0.12826,0.07454,0.01807,0.04523,0.08149,0.01976
7,0.05882,1.29413,0.31387,0.10602,0.07512,0.01822,0.04358,0.05351,0.01297
8,0.03823,0.93691,0.22723,0.11016,0.07265,0.01762,0.00941,0.06740,0.01634
9,0.03529,0.82564,0.20024,0.09765,0.07628,0.01850,0.03294,0.05982,0.01451
10,0.05882,0.61601,0.14940,0.11491,0.07065,0.01713,0.00345,0.06423,0.01557
11,0.00882,0.95351,0.23126,0.11893,0.08379,0.02032,0.02934,0.04865,0.01179
12,0.00588,0.99200,0.24059,0.12031,0.07486,0.01815,0.04096,0.07948,0.01927
13,0.04411,0.76232,0.18489,0.12098,0.08576,0.02079,0.01838,0.05120,0.01241
14,0.02941,1.12629,0.27316,0.10480,0.10331,0.02505,0.01121,0.07142,0.01732
15,0.00000,1.01067,0.24512,0.11278,0.08954,0.02171,0.00042,0.09691,0.02350
16,0.04411,0.90730,0.22005,0.14697,0.11292,0.02738,0.01821,0.06257,0.01517
17,0.04411,0.90568,0.21966,0.16292,0.14340,0.03478,0.00612,0.06912,0.01676
18,0.05882,1.03770,0.25168,0.16271,0.15209,0.03688,0.01921,0.07377,0.01789
19,0.02941,1.00558,0.24388,0.16869,0.15569,0.03776,0.02376,0.07537,0.01828
20,0.02058,0.94278,0.22865,0.18493,0.14253,0.03457,0.00538,0.06592,0.01598
21,0.01470,0.76230,0.18488,0.17996,0.13921,0.03376,0.01668,0.06758,0.01639
22,0.02941,0.83279,0.20198,0.15455,0.13388,0.03247,0.00812,0.06224,0.01509
23,0.01470,0.77474,0.18790,0.15408,0.13463,0.03265,0.00353,0.06268,0.01520
24,0.05882,0.96073,0.23301,0.16923,0.14843,0.03599,0.00545,0.07416,0.01798
25,0.02941,1.01995,0.24737,0.19156,0.15623,0.03789,0.01473,0.06805,0.01650
