Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.00200,0.47539,0.06723,0.03894,0.01238,0.00175,0.02524,0.06052,0.00855
2,0.00700,1.16060,0.16413,0.12921,0.05827,0.00824,0.04988,0.06954,0.00983
3,0.01500,0.83007,0.11739,0.14938,0.11023,0.01558,0.03015,0.07045,0.00996
4,0.00000,0.90094,0.12741,0.16026,0.11232,0.01588,0.00177,0.09326,0.01318
5,0.02000,0.94005,0.13294,0.15188,0.10528,0.01488,0.03124,0.07769,0.01098
6,0.01999,0.93808,0.13266,0.13605,0.09611,0.01359,0.02327,0.07675,0.01085
7,0.00000,0.94270,0.13331,0.12197,0.08615,0.01218,0.01561,0.07659,0.01083
8,0.01500,1.05143,0.14869,0.12159,0.08960,0.01267,0.00819,0.06042,0.00854
9,0.01999,0.80987,0.11453,0.11396,0.07875,0.01113,0.00007,0.07475,0.01057
10,0.02000,1.01464,0.14349,0.11784,0.07379,0.01043,0.02433,0.07933,0.01121
11,0.01800,1.01566,0.14363,0.12169,0.08613,0.01218,0.01360,0.07000,0.00990
12,0.02000,0.92070,0.13020,0.12739,0.08984,0.01270,0.00180,0.06611,0.00934
13,0.00399,1.06342,0.15039,0.12599,0.08911,0.01260,0.00137,0.07770,0.01098
14,0.01999,0.97097,0.13731,0.13574,0.10061,0.01422,0.01126,0.06877,0.00972
15,0.01200,1.01703,0.14383,0.14363,0.10920,0.01544,0.01645,0.07814,0.01105
16,0.00199,0.96570,0.13657,0.15446,0.12230,0.01729,0.00977,0.08271,0.01169
17,0.00199,1.06376,0.15043,0.15810,0.13023,0.01841,0.01178,0.06873,0.00972
18,0.01799,0.94925,0.13424,0.15909,0.13141,0.01858,0.00965,0.07382,0.01044
19,0.01700,0.93944,0.13285,0.16440,0.12526,0.01771,0.00298,0.07037,0.00995
20,0.00000,0.86844,0.12281,0.17048,0.12694,0.01795,0.00911,0.07054,0.00997
21,0.00199,0.96015,0.13578,0.17889,0.12782,0.01807,0.00119,0.06301,0.00891
22,0.00199,0.91809,0.12983,0.17584,0.13776,0.01948,0.00804,0.07131,0.01008
23,0.01799,0.94237,0.13327,0.16897,0.14327,0.02026,0.00339,0.06928,0.00979
24,0.01200,0.98120,0.13876,0.16958,0.14804,0.02093,0.01160,0.06937,0.00981
25,0.01200,1.04098,0.14721,0.15740,0.15575,0.02202,0.01165,0.06562,0.00928
26,0.02000,1.10213,0.15586,0.16532,0.15649,0.02213,0.00116,0.05588,0.00790
27,0.01700,0.93779,0.13262,0.16092,0.14787,0.02091,0.00320,0.06266,0.00886
28,0.01799,0.94486,0.13362,0.15768,0.16196,0.02290,0.00339,0.06209,0.00878
29,0.01999,1.05886,0.14974,0.16613,0.14997,0.02120,0.00752,0.06447,0.00911
30,0.00699,0.84148,0.11900,0.15839,0.14839,0.02098,0.00371,0.07078,0.01000
31,0.01299,0.91442,0.12931,0.14039,0.13892,0.01964,0.00747,0.06922,0.00978
32,0.01699,0.98785,0.13970,0.13596,0.13285,0.01878,0.00008,0.05994,0.00847
33,0.01800,0.94184,0.13319,0.13881,0.12431,0.01758,0.00511,0.06508,0.00920
34,0.00700,1.13688,0.16077,0.15699,0.11789,0.01667,0.01572,0.06532,0.00923
35,0.01299,0.90646,0.12819,0.16919,0.12356,0.01747,0.00143,0.06508,0.00920
36,0.01699,0.91501,0.12940,0.16710,0.13767,0.01946,0.01835,0.06749,0.00954
37,0.00500,0.92656,0.13103,0.16692,0.13901,0.01965,0.01007,0.05922,0.00837
38,0.00500,0.95164,0.13458,0.15921,0.13974,0.01976,0.01281,0.06577,0.00930
39,0.01699,0.84490,0.11948,0.16214,0.13965,0.01975,0.00978,0.06300,0.00891
40,0.01999,0.82103,0.11611,0.17759,0.14645,0.02071,0.00005,0.05181,0.00732
41,0.00499,0.87162,0.12326,0.16352,0.14171,0.02004,0.01186,0.07419,0.01049
42,0.00799,0.96671,0.13671,0.16017,0.12350,0.01746,0.01147,0.06820,0.00964
43,0.01999,0.81018,0.11457,0.16553,0.11502,0.01626,0.01010,0.07122,0.01007
44,0.01999,0.94217,0.13324,0.17279,0.12544,0.01774,0.00127,0.06384,0.00902
45,0.00500,1.04886,0.14833,0.17190,0.14210,0.02009,0.00693,0.06154,0.00870
46,0.01299,1.01246,0.14318,0.16816,0.14611,0.02066,0.00519,0.05563,0.00786
47,0.01800,0.97435,0.13779,0.17533,0.13251,0.01874,0.00036,0.06145,0.00869
48,0.00299,0.85102,0.12035,0.17324,0.13024,0.01841,0.00172,0.06292,0.00889
49,0.00300,1.00351,0.14191,0.17553,0.14111,0.01995,0.00622,0.06562,0.00928
50,0.02000,1.10258,0.15592,0.17714,0.15205,0.02150,0.00181,0.06472,0.00915
51,0.00999,1.03121,0.14583,0.17697,0.14195,0.02007,0.00595,0.06460,0.00913
52,0.02000,0.97642,0.13808,0.17063,0.13359,0.01889,0.00110,0.06390,0.00903
53,0.01500,1.08789,0.15385,0.17282,0.13369,0.01890,0.02189,0.06151,0.00869
54,0.01500,0.86874,0.12285,0.17550,0.13264,0.01875,0.00062,0.07678,0.01085
55,0.00199,0.76941,0.10881,0.16900,0.13786,0.01949,0.01743,0.06201,0.00877
56,0.00999,0.88226,0.12477,0.16496,0.13998,0.01979,0.01806,0.06503,0.00919
57,0.02000,1.02093,0.14438,0.15789,0.12627,0.01785,0.00633,0.07458,0.01054
58,0.0,0.92887,0.13136,0.15089,0.11721,0.01657,0.00503,0.07128,0.01008
59,0.01000,0.97969,0.13854,0.15221,0.12880,0.01821,0.01276,0.05214,0.00737
60,0.0,0.86261,0.12199,0.15850,0.13267,0.01876,0.01392,0.06444,0.00911
61,0.00999,1.01779,0.14393,0.14770,0.12694,0.01795,0.01206,0.06627,0.00937
62,0.01500,0.97268,0.13755,0.14463,0.11789,0.01667,0.00229,0.06994,0.00989
63,0.01999,0.93845,0.13271,0.14736,0.11568,0.01636,0.00598,0.06746,0.00954
64,0.01499,0.79982,0.11311,0.15332,0.12325,0.01743,0.00178,0.06788,0.00960
65,0.01499,0.99936,0.14133,0.16033,0.12565,0.01777,0.00719,0.05822,0.00823
66,0.02000,1.09059,0.15423,0.15499,0.12545,0.01774,0.00148,0.07412,0.01048
67,0.01500,1.02167,0.14448,0.17092,0.12364,0.01748,0.01297,0.05763,0.00815
68,0.02000,0.78185,0.11057,0.16915,0.12294,0.01738,0.00063,0.07729,0.01093
69,0.01500,1.04202,0.14736,0.17036,0.13179,0.01863,0.00474,0.05882,0.00831
70,0.02000,0.94493,0.13363,0.16241,0.13771,0.01947,0.01036,0.06505,0.00919
71,0.01999,1.00881,0.14266,0.16158,0.14011,0.01981,0.00699,0.07292,0.01031
72,0.00499,0.85879,0.12145,0.16188,0.13652,0.01930,0.00857,0.06735,0.00952
73,0.01500,1.16740,0.16509,0.15841,0.12412,0.01755,0.00406,0.05959,0.00842
74,0.01999,1.02459,0.14489,0.15597,0.13035,0.01843,0.01855,0.06979,0.00987
75,0.01999,1.00319,0.14187,0.16364,0.12712,0.01797,0.00335,0.06086,0.00860
76,0.01499,1.01765,0.14391,0.16902,0.13414,0.01897,0.00613,0.07217,0.01020
77,0.01999,0.93220,0.13183,0.17800,0.13723,0.01940,0.00335,0.06570,0.00929
78,0.01499,0.90759,0.12835,0.17964,0.13471,0.01905,0.00085,0.05827,0.00824
79,0.02000,1.01252,0.14319,0.18041,0.13580,0.01920,0.00104,0.05696,0.00805
