Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.0,0.0,0.0,0.00082,0.0,0.0,0.00062,.0,.0
2,0.0,0.0,0.0,0.00295,.0,.0,0.00164,0.0,0.0
3,0.0,0.0,0.0,0.00651,0.00000,0.00000,0.00265,.0,.0
4,0.0,0.0,0.0,0.01160,.0,.0,0.00366,0.00000,0.00000
5,0.0,0.0,0.0,0.01811,0.00000,0.00000,0.00468,.0,.0
6,0.0,0.0,0.0,0.02592,.0,.0,0.00569,0.00000,0.00000
7,0.0,0.0,0.0,0.03527,0.00000,0.00000,0.00670,.0,.0
8,0.0,0.0,0.0,0.04604,0.00000,0.00000,0.00772,.0,.0
9,0.00200,0.01400,0.00197,0.02864,0.00000,0.00000,0.03445,0.00000,0.00000
10,0.0,0.0,0.0,0.02923,0.00000,0.00000,0.04947,0.00000,0.00000
11,0.00200,0.01400,0.00197,0.06711,0.00000,0.00000,0.00495,.0,.0
12,0.00200,0.01400,0.00197,0.03361,0.0,0.0,0.05724,.0,.0
13,0.00200,0.02441,0.00345,0.03219,0.00320,0.00045,0.03762,0.00480,0.00067
14,0.00200,0.02441,0.00345,0.04266,0.00863,0.00122,0.02282,0.00265,0.00037
15,0.00000,0.02000,0.00282,0.00305,0.00635,0.00089,0.04112,0.00589,0.00083
16,0.00200,0.01720,0.00243,0.02582,0.00329,0.00046,0.00211,0.00893,0.00126
17,0.00000,0.04123,0.00583,0.00900,0.00753,0.00106,0.02317,0.00356,0.00050
18,0.00000,0.02000,0.00282,0.02445,0.00383,0.00054,0.02417,0.00220,0.00031
19,0.00200,0.03155,0.00446,0.03087,0.00174,0.00024,0.01620,0.00826,0.00116
20,0.00000,0.02828,0.00400,0.00711,0.00560,0.00079,0.03304,0.00287,0.00040
21,0.00200,0.04686,0.00662,0.02187,0.00359,0.00050,0.00537,0.01399,0.00197
22,0.00000,0.04123,0.00583,0.00936,0.01187,0.00167,0.02548,0.00698,0.00098
23,0.00200,0.05287,0.00747,0.01514,0.00376,0.00053,0.00836,0.01399,0.00197
24,0.00000,0.03464,0.00489,0.01597,0.00373,0.00052,0.02554,0.01020,0.00144
25,0.00200,0.05912,0.00836,0.02420,0.00729,0.00103,0.00919,0.01258,0.00177
26,0.00000,0.03316,0.00469,0.00754,0.00746,0.00105,0.02632,0.01177,0.00166
27,0.00200,0.06161,0.00871,0.01740,0.00396,0.00056,0.00642,0.01078,0.00152
28,0.00000,0.02449,0.00346,0.00683,0.00521,0.00073,0.02018,0.01180,0.00166
29,0.00200,0.06554,0.00926,0.01086,0.00351,0.00049,0.01324,0.01103,0.00156
30,0.0,0.01000,0.00141,0.02403,0.00667,0.00094,0.02616,0.01789,0.00253
31,0.00200,0.07743,0.01095,0.03938,0.01495,0.00211,0.00343,0.00677,0.00095
