Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.0,0.0,0.0,0.00082,0.0,0.0,0.00062,.0,.0
2,0.0,0.0,0.0,0.00295,.0,.0,0.00164,0.0,0.0
3,0.0,0.0,0.0,0.00651,0.00000,0.00000,0.00265,.0,.0
4,0.0,0.0,0.0,0.01160,.0,.0,0.00366,0.00000,0.00000
5,0.0,0.0,0.0,0.01811,0.00000,0.00000,0.00468,.0,.0
6,0.0,0.0,0.0,0.02592,.0,.0,0.00569,0.00000,0.00000
7,0.0,0.0,0.0,0.03527,0.00000,0.00000,0.00670,.0,.0
8,0.0,0.0,0.0,0.04604,0.00000,0.00000,0.00772,.0,.0
9,0.00200,0.01400,0.00197,0.02864,0.00000,0.00000,0.03445,0.00000,0.00000
10,0.0,0.0,0.0,0.02923,0.00000,0.00000,0.04947,0.00000,0.00000
11,0.00199,0.03600,0.00509,0.06378,0.00425,0.00060,0.00063,0.00713,0.00100
12,0.00199,0.06399,0.00905,0.03144,0.00430,0.00060,0.04927,0.01021,0.00144
13,0.00199,0.06705,0.00948,0.02978,0.01129,0.00159,0.04039,0.01035,0.00146
14,0.00200,0.05653,0.00799,0.05339,0.02155,0.00304,0.00718,0.01438,0.00203
15,0.00000,0.06324,0.00894,0.03158,0.02693,0.00380,0.02930,0.01538,0.00217
16,0.00199,0.06477,0.00916,0.02296,0.01531,0.00216,0.01699,0.02070,0.00292
17,0.00000,0.06557,0.00927,0.02664,0.02066,0.00292,0.00340,0.02100,0.00297
18,0.00000,0.05830,0.00824,0.03711,0.02561,0.00362,0.00502,0.02536,0.00358
19,0.00199,0.13113,0.01854,0.03869,0.02832,0.00400,0.01031,0.02539,0.00359
20,0.00000,0.10197,0.01442,0.02425,0.02891,0.00408,0.00833,0.03590,0.00507
21,0.00199,0.09537,0.01348,0.03440,0.02194,0.00310,0.00519,0.02710,0.00383
22,0.00000,0.10862,0.01536,0.03113,0.02724,0.00385,0.00152,0.02053,0.00290
23,0.00199,0.06779,0.00958,0.02410,0.02147,0.00303,0.01265,0.02075,0.00293
24,0.00000,0.05744,0.00812,0.02645,0.02199,0.00311,0.01026,0.02022,0.00286
25,0.00099,0.09924,0.01403,0.03024,0.02510,0.00355,0.00315,0.01970,0.00278
26,0.00100,0.08514,0.01204,0.02430,0.02429,0.00343,0.00829,0.02593,0.00366
27,0.00000,0.09797,0.01385,0.02981,0.01623,0.00229,0.00249,0.02468,0.00349
28,0.00200,0.08182,0.01157,0.03043,0.02454,0.00347,0.01089,0.02054,0.00290
29,0.00000,0.07483,0.01058,0.03427,0.02938,0.00415,0.00212,0.02270,0.00321
30,0.0,0.10954,0.01549,0.03587,0.02694,0.00381,0.00809,0.02793,0.00395
