Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.0,0.0,0.0,0.00082,0.0,0.0,0.00062,.0,.0
2,0.0,0.0,0.0,0.00295,.0,.0,0.00164,0.0,0.0
3,0.0,0.0,0.0,0.00651,0.00000,0.00000,0.00265,.0,.0
4,0.0,0.0,0.0,0.01160,.0,.0,0.00366,0.00000,0.00000
5,0.0,0.0,0.0,0.01811,0.00000,0.00000,0.00468,.0,.0
6,0.0,0.0,0.0,0.02592,.0,.0,0.00569,0.00000,0.00000
7,0.0,0.0,0.0,0.03527,0.00000,0.00000,0.00670,.0,.0
8,0.0,0.0,0.0,0.04604,0.00000,0.00000,0.00772,.0,.0
9,0.00200,0.01400,0.00197,0.02864,0.00000,0.00000,0.03445,0.00000,0.00000
10,0.0,0.0,0.0,0.02923,0.00000,0.00000,0.04947,0.00000,0.00000
11,0.00200,0.01400,0.00197,0.06711,0.00000,0.00000,0.00495,.0,.0
12,0.00200,0.01400,0.00197,0.03361,0.0,0.0,0.05724,.0,.0
13,0.00200,0.02441,0.00345,0.03219,0.00320,0.00045,0.03762,0.00480,0.00067
14,0.00200,0.02441,0.00345,0.04266,0.00863,0.00122,0.02282,0.00265,0.00037
15,0.00000,0.02000,0.00282,0.00305,0.00635,0.00089,0.04112,0.00589,0.00083
16,0.00200,0.01720,0.00243,0.02582,0.00329,0.00046,0.00211,0.00893,0.00126
17,0.00000,0.04123,0.00583,0.00900,0.00753,0.00106,0.02317,0.00356,0.00050
18,0.00000,0.02000,0.00282,0.02445,0.00383,0.00054,0.02417,0.00220,0.00031
19,0.00200,0.03155,0.00446,0.03087,0.00174,0.00024,0.01620,0.00826,0.00116
20,0.00000,0.02828,0.00400,0.00711,0.00560,0.00079,0.03304,0.00287,0.00040
21,0.00200,0.04686,0.00662,0.02187,0.00359,0.00050,0.00537,0.01399,0.00197
22,0.00000,0.04123,0.00583,0.00936,0.01187,0.00167,0.02548,0.00698,0.00098
23,0.00200,0.05287,0.00747,0.01514,0.00376,0.00053,0.00836,0.01399,0.00197
24,0.00000,0.03316,0.00469,0.01603,0.00360,0.00050,0.02507,0.01191,0.00168
25,0.00200,0.06852,0.00969,0.02441,0.00694,0.00098,0.00895,0.01293,0.00182
26,0.00000,0.03316,0.00469,0.00764,0.00752,0.00106,0.02576,0.01368,0.00193
27,0.00200,0.07068,0.00999,0.01773,0.00409,0.00057,0.00611,0.01111,0.00157
28,0.00000,0.02449,0.00346,0.00667,0.00521,0.00073,0.01955,0.01352,0.00191
29,0.00200,0.07413,0.01048,0.01099,0.00357,0.00050,0.01300,0.01144,0.00161
30,0.0,0.01000,0.00141,0.02414,0.00642,0.00090,0.02560,0.01907,0.00269
31,0.00200,0.08482,0.01199,0.03970,0.01428,0.00202,0.00312,0.00735,0.00103
