Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.01999,0.48083,0.06799,0.04643,0.01962,0.00277,0.07702,0.03249,0.00459
2,0.01799,0.49272,0.06968,0.20678,0.08465,0.01197,0.17525,0.07114,0.01006
3,0.01500,0.78944,0.11164,0.34473,0.13673,0.01933,0.05132,0.02339,0.00330
4,0.00499,0.61165,0.08650,0.38175,0.13261,0.01875,0.04079,0.05575,0.00788
5,0.00999,0.74121,0.10482,0.35802,0.10126,0.01432,0.04269,0.05419,0.00766
6,0.00999,0.88283,0.12485,0.30206,0.06132,0.00867,0.03350,0.04854,0.00686
7,0.00000,0.84905,0.12007,0.27597,0.05577,0.00788,0.01018,0.04097,0.00579
8,0.00200,0.96669,0.13671,0.24559,0.05162,0.00730,0.01798,0.04191,0.00592
9,0.00100,0.94717,0.13395,0.24038,0.06264,0.00885,0.00402,0.04924,0.00696
10,0.01000,0.88876,0.12569,0.22669,0.07631,0.01079,0.01451,0.03803,0.00537
11,0.00799,0.93489,0.13221,0.22098,0.07936,0.01122,0.00306,0.03514,0.00497
12,0.00500,0.81106,0.11470,0.22370,0.07640,0.01080,0.00769,0.05019,0.00709
13,0.00099,0.68603,0.09702,0.23262,0.07704,0.01089,0.00499,0.04442,0.00628
14,0.00499,0.80710,0.11414,0.23421,0.07623,0.01078,0.00271,0.04471,0.00632
15,0.01799,0.89525,0.12660,0.23335,0.08303,0.01174,0.00005,0.04288,0.00606
16,0.01999,0.81682,0.11551,0.23491,0.07128,0.01008,0.00317,0.04830,0.00683
17,0.00499,0.79613,0.11258,0.23917,0.06333,0.00895,0.00817,0.02881,0.00407
18,0.00500,0.91116,0.12885,0.24667,0.05975,0.00845,0.00044,0.04310,0.00609
19,0.00499,0.82953,0.11731,0.23935,0.06195,0.00876,0.00846,0.03894,0.00550
20,0.00999,0.83910,0.11866,0.24030,0.06248,0.00883,0.00764,0.03815,0.00539
21,0.01000,0.82304,0.11639,0.24184,0.05296,0.00749,0.00008,0.04063,0.00574
22,0.00300,0.87922,0.12434,0.23680,0.05921,0.00837,0.01035,0.04222,0.00597
23,0.00200,0.87200,0.12332,0.22800,0.06807,0.00962,0.00253,0.03371,0.00476
24,0.00800,0.82742,0.11701,0.23114,0.06174,0.00873,0.00874,0.04410,0.00623
25,0.00200,0.68651,0.09708,0.23258,0.06457,0.00913,0.00051,0.02851,0.00403
26,0.0,0.73925,0.10454,0.23815,0.06710,0.00948,0.00397,0.04662,0.00659
27,0.00500,0.74941,0.10598,0.24261,0.07010,0.00991,0.00274,0.03125,0.00441
28,0.01300,0.83065,0.11747,0.24416,0.06480,0.00916,0.00004,0.04580,0.00647
29,0.02000,0.89481,0.12654,0.24005,0.05706,0.00806,0.00303,0.03764,0.00532
30,0.01799,0.76946,0.10881,0.23735,0.06383,0.00902,0.00305,0.04676,0.00661
31,0.00300,0.62844,0.08887,0.23449,0.07098,0.01003,0.00009,0.03041,0.00430
32,0.01199,0.74024,0.10468,0.24031,0.06129,0.00866,0.00937,0.04710,0.00666
33,0.01800,0.86779,0.12272,0.24579,0.06132,0.00867,0.00861,0.06723,0.00950
34,0.01699,0.93255,0.13188,0.25956,0.09661,0.01366,0.01651,0.09353,0.01322
35,0.01300,0.81827,0.11572,0.25859,0.12326,0.01743,0.00806,0.10899,0.01541
36,0.01999,0.77097,0.10903,0.25825,0.12516,0.01770,0.01685,0.10596,0.01498
37,0.01800,0.83646,0.11829,0.25647,0.12273,0.01735,0.01294,0.10519,0.01487
38,0.00100,0.76423,0.10807,0.25743,0.12459,0.01762,0.01495,0.10084,0.01426
39,0.00199,0.85912,0.12149,0.25926,0.12321,0.01742,0.01753,0.09656,0.01365
40,0.00100,0.78679,0.11126,0.26648,0.12799,0.01810,0.01525,0.08956,0.01266
41,0.00000,0.65589,0.09369,0.25187,0.05349,0.00764,0.00195,0.02863,0.00409
42,0.00000,0.62023,0.08860,0.25825,0.04966,0.00709,0.00334,0.03662,0.00523
43,0.00204,0.79436,0.11348,0.25188,0.05931,0.00847,0.01063,0.03531,0.00504
44,0.00306,0.70771,0.10110,0.24689,0.06403,0.00914,0.00211,0.03425,0.00489
45,0.00000,0.63687,0.09098,0.24800,0.06277,0.00896,0.00231,0.03697,0.00528
46,0.00306,0.69248,0.09892,0.24724,0.05958,0.00851,0.00301,0.03872,0.00553
47,0.01326,0.81037,0.11576,0.24513,0.05884,0.00840,0.00266,0.03748,0.00535
48,0.02040,0.83775,0.11967,0.24010,0.06445,0.00920,0.00121,0.03337,0.00476
49,0.02040,0.64814,0.09259,0.24008,0.05528,0.00789,0.00174,0.04032,0.00576
50,0.00000,0.68779,0.09825,0.24032,0.05524,0.00789,0.00138,0.02595,0.00370
51,0.00306,0.74521,0.10645,0.24685,0.04429,0.00632,0.00762,0.03358,0.00479
52,0.00714,0.84473,0.12067,0.25000,0.04722,0.00674,0.00117,0.02892,0.00413
53,0.02040,0.89150,0.12735,0.24779,0.04794,0.00684,0.00176,0.03137,0.00448
54,0.02040,0.85320,0.12188,0.24921,0.04336,0.00619,0.00153,0.03441,0.00491
55,0.01020,0.71742,0.10248,0.24687,0.03820,0.00545,0.00405,0.03349,0.00478
56,0.02040,0.64893,0.09270,0.24806,0.04254,0.00607,0.00580,0.03425,0.00489
57,0.01020,0.74429,0.10632,0.25389,0.04579,0.00654,0.00169,0.02740,0.00391
58,0.00306,0.83698,0.11956,0.25229,0.04381,0.00625,0.00092,0.03389,0.00484
59,0.00510,0.76686,0.10955,0.25422,0.04347,0.00621,0.00054,0.03214,0.00459
60,0.00510,0.79720,0.11388,0.25051,0.04302,0.00614,0.00070,0.02708,0.00386
61,0.01020,0.72646,0.10378,0.25651,0.04788,0.00684,0.00359,0.03355,0.00479
62,0.01530,0.62386,0.08912,0.25095,0.04855,0.00693,0.00513,0.03005,0.00429
63,0.02040,0.66700,0.09528,0.25861,0.04431,0.00633,0.01036,0.02881,0.00411
64,0.01020,0.76685,0.10955,0.25354,0.04804,0.00686,0.01263,0.03319,0.00474
65,0.00816,0.82600,0.11800,0.24699,0.05261,0.00751,0.00132,0.03183,0.00454
66,0.01224,0.76555,0.10936,0.24901,0.04979,0.00711,0.00266,0.03878,0.00554
67,0.02040,0.69648,0.09949,0.24683,0.04921,0.00703,0.00026,0.02910,0.00415
68,0.02040,0.72582,0.10368,0.25093,0.04901,0.00700,0.00341,0.02995,0.00427
69,0.00510,0.59797,0.08542,0.25131,0.04471,0.00638,0.00029,0.02876,0.00410
70,0.01020,0.72188,0.10312,0.25799,0.03957,0.00565,0.00488,0.02737,0.00391
71,0.01020,0.66000,0.09428,0.25386,0.04086,0.00583,0.00732,0.03098,0.00442
72,0.00102,0.70112,0.10016,0.25342,0.04651,0.00664,0.00254,0.02453,0.00350
73,0.00306,0.70648,0.10092,0.25103,0.04293,0.00613,0.00407,0.02916,0.00416
74,0.00816,0.70031,0.10004,0.25308,0.05093,0.00727,0.00605,0.02196,0.00313
75,0.02040,0.84430,0.12061,0.25941,0.04546,0.00649,0.00362,0.03022,0.00431
76,0.01530,0.73860,0.10551,0.25724,0.04398,0.00628,0.00855,0.03531,0.00504
77,0.01020,0.59778,0.08539,0.24859,0.05437,0.00776,0.00350,0.02987,0.00426
78,0.02040,0.54331,0.07761,0.25047,0.05495,0.00785,0.00304,0.03190,0.00455
79,0.02040,0.65105,0.09300,0.24849,0.05470,0.00781,0.00012,0.03133,0.00447
80,0.00306,0.62803,0.08971,0.26046,0.05136,0.00733,0.01268,0.02981,0.00425
81,0.00714,0.69553,0.09936,0.26584,0.04551,0.00650,0.00145,0.03167,0.00452
82,0.00510,0.78761,0.11251,0.26633,0.05040,0.00720,0.00074,0.02752,0.00393
83,0.00204,0.58927,0.08418,0.26640,0.04834,0.00690,0.00022,0.03418,0.00488
84,0.00000,0.50355,0.07193,0.26496,0.05261,0.00751,0.00215,0.02239,0.00319
85,0.0,0.62678,0.08954,0.26299,0.04476,0.00639,0.00090,0.03595,0.00513
86,0.00000,0.78193,0.11170,0.26298,0.04847,0.00692,0.00146,0.02967,0.00423
87,0.00000,0.74422,0.10631,0.26357,0.04602,0.00657,0.00209,0.03226,0.00460
88,0.00000,0.70356,0.10050,0.27053,0.03911,0.00558,0.00577,0.03021,0.00431
89,0.00000,0.70021,0.10003,0.26999,0.03822,0.00546,0.00637,0.02974,0.00424
90,0.00000,0.72948,0.10421,0.26179,0.04717,0.00673,0.00580,0.03047,0.00435
91,0.00000,0.75268,0.10752,0.25950,0.05015,0.00716,0.00036,0.02963,0.00423
92,0.00000,0.81666,0.11666,0.25814,0.04958,0.00708,0.00026,0.03264,0.00466
93,0.0,0.68504,0.09786,0.26001,0.05050,0.00721,0.00381,0.02674,0.00382
94,0.00000,0.73879,0.10554,0.26788,0.04495,0.00642,0.00521,0.02700,0.00385
95,0.00000,0.75518,0.10788,0.26261,0.04787,0.00683,0.00919,0.02507,0.00358
96,0.00000,0.72759,0.10394,0.26210,0.04577,0.00653,0.00294,0.02590,0.00370
97,0.00000,0.76378,0.10911,0.26006,0.04511,0.00644,0.00253,0.02466,0.00352
98,0.00000,0.79897,0.11413,0.25783,0.04960,0.00708,0.00291,0.02889,0.00412
99,0.00000,0.72407,0.10343,0.25443,0.04887,0.00698,0.00028,0.02912,0.00416
100,0.0,0.74805,0.10686,0.25995,0.05006,0.00715,0.00487,0.03077,0.00439
101,0.00204,0.58256,0.08322,0.26003,0.05073,0.00724,0.00026,0.02641,0.00377
102,0.00510,0.66002,0.09428,0.26506,0.05198,0.00742,0.00022,0.02852,0.00407
103,0.00204,0.72393,0.10341,0.25577,0.06123,0.00874,0.00873,0.03139,0.00448
104,0.00204,0.57471,0.08210,0.25598,0.06073,0.00867,0.00322,0.03283,0.00469
105,0.00510,0.58171,0.08310,0.25208,0.05519,0.00788,0.00427,0.03105,0.00443
