Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.0,0.24494,0.05940,0.00096,0.03912,0.00948,0.00197,0.06160,0.01494
2,0.00882,0.93482,0.22672,0.01037,0.12102,0.02935,0.01328,0.05728,0.01389
3,0.03823,0.61105,0.14820,0.03401,0.13341,0.03235,0.02144,0.07850,0.01904
4,0.02352,0.98056,0.23782,0.04930,0.12584,0.03052,0.00495,0.07245,0.01757
5,0.00882,0.64653,0.15680,0.05591,0.11409,0.02767,0.00504,0.07241,0.01756
6,0.05882,0.66933,0.16233,0.03932,0.10946,0.02654,0.01480,0.08892,0.02156
7,0.00294,0.92170,0.22354,0.03470,0.12263,0.02974,0.00249,0.07643,0.01853
8,0.04411,0.82922,0.20111,0.01364,0.11581,0.02808,0.03478,0.08536,0.02070
9,0.00882,0.95551,0.23174,0.02417,0.09818,0.02381,0.03040,0.06686,0.01621
10,0.01470,0.88546,0.21475,0.04668,0.08925,0.02164,0.00388,0.06803,0.01650
11,0.05000,0.96405,0.23381,0.06156,0.10198,0.02473,0.00991,0.06884,0.01669
12,0.00588,1.19556,0.28996,0.06285,0.12577,0.03050,0.01195,0.07411,0.01797
13,0.05294,1.02734,0.24916,0.04433,0.12107,0.02936,0.02065,0.06572,0.01593
14,0.05882,1.12592,0.27307,0.03007,0.09605,0.02329,0.00704,0.09934,0.02409
15,0.05882,0.70214,0.17029,0.01634,0.09076,0.02201,0.00589,0.05851,0.01419
16,0.00588,0.91889,0.22286,0.01343,0.09986,0.02421,0.00779,0.07025,0.01703
17,0.00882,1.27466,0.30915,0.00361,0.13511,0.03276,0.02693,0.05409,0.01311
18,0.05882,0.67458,0.16361,0.03040,0.13916,0.03375,0.00801,0.07983,0.01936
19,0.00294,0.81736,0.19823,0.01503,0.13451,0.03262,0.02906,0.03962,0.00960
20,0.00294,1.22600,0.29734,0.00859,0.12214,0.02962,0.01315,0.05777,0.01401
21,0.02058,1.07279,0.26019,0.02072,0.11916,0.02890,0.01355,0.07254,0.01759
22,0.05294,0.69967,0.16969,0.01404,0.10387,0.02519,0.01133,0.05607,0.01359
23,0.05000,0.98413,0.23868,0.02556,0.09747,0.02364,0.03129,0.06644,0.01611
24,0.05882,1.20711,0.29276,0.06672,0.09642,0.02338,0.03614,0.05933,0.01439
25,0.03529,0.71594,0.17364,0.08372,0.10190,0.02471,0.01156,0.06327,0.01534
26,0.01176,1.07450,0.26060,0.06497,0.11161,0.02707,0.02467,0.04459,0.01081
27,0.03823,1.20751,0.29286,0.05215,0.11312,0.02743,0.00092,0.07433,0.01802
28,0.05000,0.89030,0.21593,0.04549,0.12268,0.02975,0.00442,0.05353,0.01298
29,0.02941,1.03796,0.25174,0.03212,0.13735,0.03331,0.01741,0.07201,0.01746
30,0.00294,1.02777,0.24927,0.01659,0.17079,0.04142,0.00645,0.06780,0.01644
31,0.02352,0.79021,0.19165,0.02015,0.17112,0.04150,0.00991,0.07199,0.01746
32,0.00588,0.70666,0.17139,0.02606,0.16030,0.03887,0.01350,0.08150,0.01976
33,0.05882,1.00341,0.24336,0.05587,0.16529,0.04008,0.03679,0.07266,0.01762
