Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.01000,0.42630,0.11007,0.01670,0.03737,0.00964,0.02778,0.05928,0.01530
2,0.04333,0.97311,0.25125,0.06549,0.11809,0.03049,0.04075,0.05981,0.01544
3,0.00000,0.72938,0.18832,0.09518,0.12832,0.03313,0.01018,0.07916,0.02044
4,0.06666,0.94032,0.24279,0.11487,0.13287,0.03430,0.00330,0.06601,0.01704
5,0.06666,1.12200,0.28969,0.10593,0.12588,0.03250,0.02235,0.08549,0.02207
6,0.06666,1.02740,0.26527,0.08440,0.09185,0.02371,0.01898,0.08979,0.02318
7,0.06666,1.23297,0.31835,0.06926,0.07749,0.02000,0.00544,0.09190,0.02373
8,0.00666,0.97105,0.25072,0.04890,0.10730,0.02770,0.02871,0.05451,0.01407
9,0.02666,0.91266,0.23564,0.00404,0.09628,0.02485,0.04183,0.07353,0.01898
10,0.00999,0.90979,0.23490,0.01692,0.05889,0.01520,0.00417,0.07313,0.01888
11,0.01666,0.96223,0.24844,0.01029,0.08999,0.02323,0.02748,0.07223,0.01865
12,0.03333,0.97050,0.25058,0.02429,0.13584,0.03507,0.02542,0.04682,0.01209
13,0.05666,1.19483,0.30850,0.04240,0.16117,0.04161,0.00603,0.05187,0.01339
14,0.05666,1.05654,0.27279,0.06286,0.16663,0.04302,0.01630,0.05630,0.01453
15,0.00999,0.96664,0.24958,0.08049,0.15333,0.03958,0.01603,0.05827,0.01504
16,0.01000,0.67975,0.17551,0.10231,0.15099,0.03898,0.00873,0.05237,0.01352
17,0.00333,0.78325,0.20223,0.08292,0.15872,0.04098,0.03657,0.04532,0.01170
18,0.05000,0.90480,0.23361,0.05037,0.17200,0.04441,0.01888,0.05534,0.01428
19,0.05666,0.91612,0.23654,0.02772,0.16940,0.04373,0.00728,0.06261,0.01616
20,0.06666,1.06013,0.27372,0.02460,0.16526,0.04267,0.01313,0.05338,0.01378
21,0.05999,1.08261,0.27953,0.04499,0.14908,0.03849,0.02118,0.06294,0.01625
22,0.04333,1.02108,0.26364,0.06164,0.13990,0.03612,0.00447,0.06317,0.01631
23,0.04999,1.14934,0.29676,0.07525,0.13925,0.03595,0.00830,0.05650,0.01458
24,0.06666,1.23418,0.31866,0.09235,0.11640,0.03005,0.02002,0.06840,0.01766
25,0.01000,0.78976,0.20391,0.11911,0.11085,0.02862,0.01574,0.04968,0.01282
26,0.01666,0.66047,0.17053,0.12059,0.12124,0.03130,0.01205,0.05551,0.01433
27,0.02666,0.57817,0.14928,0.11740,0.14720,0.03800,0.00586,0.07408,0.01912
28,0.00999,0.65858,0.17004,0.09962,0.16583,0.04281,0.01125,0.06733,0.01738
