Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.01071,0.19746,0.05277,0.01819,0.03065,0.00819,0.02819,0.04768,0.01274
2,0.02142,0.92093,0.24612,0.05152,0.08217,0.02196,0.01483,0.03152,0.00842
3,0.01428,1.14913,0.30711,0.05130,0.07499,0.02004,0.01232,0.08616,0.02302
4,0.04285,0.83385,0.22285,0.05346,0.10338,0.02762,0.00721,0.07111,0.01900
5,0.02857,0.89736,0.23982,0.05919,0.11156,0.02981,0.00642,0.07918,0.02116
6,0.00714,0.88213,0.23576,0.05963,0.11551,0.03087,0.00265,0.08064,0.02155
7,0.01785,0.76476,0.20439,0.05159,0.11859,0.03169,0.01131,0.07118,0.01902
8,0.07142,0.85642,0.22888,0.03086,0.10800,0.02886,0.03139,0.05296,0.01415
9,0.01071,0.98997,0.26458,0.01327,0.09128,0.02439,0.03598,0.05089,0.01360
10,0.07142,0.89735,0.23982,0.03575,0.06849,0.01830,0.00430,0.06936,0.01853
11,0.04642,1.06157,0.28371,0.00993,0.08145,0.02177,0.04448,0.06149,0.01643
12,0.02142,0.69711,0.18631,0.02214,0.10173,0.02718,0.00809,0.05465,0.01460
13,0.05357,0.70697,0.18894,0.01469,0.10498,0.02805,0.01898,0.06902,0.01844
14,0.05357,0.94556,0.25271,0.02310,0.12456,0.03329,0.01808,0.05962,0.01593
15,0.07142,0.77060,0.20595,0.02571,0.13889,0.03712,0.00789,0.03908,0.01044
16,0.06071,0.81813,0.21865,0.01309,0.14506,0.03876,0.01251,0.06846,0.01829
17,0.05357,0.78886,0.21083,0.00673,0.13326,0.03561,0.00152,0.06488,0.01734
18,0.01785,0.83486,0.22312,0.01107,0.12027,0.03214,0.00985,0.06059,0.01619
19,0.01071,0.77808,0.20795,0.03099,0.12760,0.03410,0.01639,0.06142,0.01641
20,0.00000,0.91709,0.24510,0.04598,0.16655,0.04451,0.00527,0.05355,0.01431
21,0.04642,0.87289,0.23329,0.05404,0.16912,0.04520,0.00369,0.06627,0.01771
22,0.05357,1.09372,0.29231,0.05776,0.15204,0.04063,0.00421,0.08104,0.02166
23,0.02142,0.73865,0.19741,0.04490,0.15172,0.04054,0.01269,0.07888,0.02108
24,0.00357,1.05024,0.28069,0.03451,0.14640,0.03912,0.00553,0.06733,0.01799
25,0.05357,0.96129,0.25691,0.02873,0.14676,0.03922,0.00757,0.09920,0.02651
26,0.07142,0.71357,0.19071,0.04525,0.14869,0.03974,0.02449,0.08178,0.02185
27,0.03571,0.94082,0.25144,0.04775,0.16742,0.04474,0.01959,0.02603,0.00695
28,0.00714,1.20057,0.32086,0.02183,0.14973,0.04001,0.03572,0.08264,0.02208
29,0.02499,0.72794,0.19455,0.00294,0.12687,0.03390,0.00398,0.08436,0.02254
30,0.07142,1.04825,0.28015,0.00250,0.15083,0.04031,0.00231,0.07898,0.02111
31,0.07142,0.93344,0.24947,0.00703,0.16374,0.04376,0.00424,0.04717,0.01260
32,0.04285,1.19146,0.31843,0.02005,0.13602,0.03635,0.03179,0.07709,0.02060
33,0.02500,0.54633,0.14601,0.03855,0.12831,0.03429,0.01113,0.07455,0.01992
34,0.03571,0.93032,0.24864,0.06061,0.14395,0.03847,0.01445,0.05200,0.01389
35,0.05357,0.80942,0.21632,0.06967,0.14666,0.03919,0.00677,0.06973,0.01863
36,0.00714,0.80685,0.21564,0.05116,0.13713,0.03665,0.02316,0.05978,0.01597
37,0.05357,1.01514,0.27130,0.03318,0.14326,0.03828,0.00895,0.06437,0.01720
38,0.07142,1.23139,0.32910,0.02540,0.15616,0.04173,0.00160,0.07363,0.01968
39,0.01785,0.83614,0.22346,0.03292,0.16096,0.04302,0.01019,0.07762,0.02074
40,0.07142,0.87151,0.23292,0.02340,0.15887,0.04246,0.02086,0.05123,0.01369
41,0.03571,0.86899,0.23224,0.00267,0.14282,0.03817,0.01862,0.08106,0.02166
42,0.03571,0.90483,0.24182,0.00141,0.12355,0.03302,0.01654,0.06333,0.01692
43,0.05357,1.04291,0.27873,0.01908,0.12888,0.03444,0.02163,0.07835,0.02094
44,0.07142,0.94994,0.25388,0.02589,0.14472,0.03868,0.00925,0.03758,0.01004
45,0.07142,0.63039,0.16848,0.00127,0.12363,0.03304,0.03540,0.07554,0.02019
46,0.05357,0.66210,0.17695,0.02390,0.13797,0.03687,0.00847,0.05177,0.01383
47,0.07142,0.81781,0.21857,0.03681,0.13669,0.03653,0.00255,0.05157,0.01378
48,0.07142,1.14060,0.30483,0.04496,0.12487,0.03337,0.00289,0.04884,0.01305
49,0.02857,1.06414,0.28440,0.04266,0.11340,0.03030,0.01435,0.05983,0.01599
50,0.05357,0.90779,0.24261,0.01472,0.11207,0.02995,0.02168,0.02897,0.00774
51,0.05357,0.81972,0.21908,0.01099,0.12046,0.03219,0.00598,0.06150,0.01643
52,0.03571,0.98078,0.26212,0.00725,0.12309,0.03289,0.00070,0.03636,0.00971
53,0.05357,0.94989,0.25387,0.01783,0.13828,0.03695,0.01006,0.08902,0.02379
54,0.05357,0.80831,0.21603,0.02189,0.16847,0.04502,0.00158,0.04655,0.01244
55,0.07142,0.93478,0.24983,0.01963,0.18081,0.04832,0.00788,0.03719,0.00993
56,0.07142,1.01676,0.27174,0.00165,0.18743,0.05009,0.01987,0.05523,0.01476
57,0.07142,1.08836,0.29087,0.02082,0.19501,0.05211,0.01705,0.06019,0.01608
58,0.07142,1.02881,0.27496,0.05515,0.17764,0.04747,0.02097,0.06207,0.01659
59,0.07142,0.85036,0.22726,0.05500,0.16282,0.04351,0.02428,0.05711,0.01526
60,0.05357,1.01408,0.27102,0.03715,0.15271,0.04081,0.01654,0.04835,0.01292
61,0.07142,0.95911,0.25633,0.03756,0.14410,0.03851,0.01528,0.05596,0.01495
62,0.05357,0.75343,0.20136,0.05424,0.12762,0.03411,0.01479,0.05566,0.01487
63,0.03571,0.82211,0.21971,0.06895,0.13332,0.03563,0.00735,0.05524,0.01476
64,0.05357,0.78863,0.21077,0.07483,0.12821,0.03426,0.00146,0.05740,0.01534
65,0.05357,0.82472,0.22041,0.07359,0.12327,0.03294,0.00836,0.06909,0.01846
66,0.07142,0.76244,0.20377,0.05217,0.11871,0.03172,0.02398,0.04970,0.01328
67,0.07142,1.11478,0.29793,0.03287,0.11956,0.03195,0.01072,0.05059,0.01352
68,0.07142,0.89316,0.23870,0.03078,0.12521,0.03346,0.01237,0.06673,0.01783
