Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.0,0.0,0.0,0.00082,0.0,0.0,0.00062,.0,.0
2,0.0,0.0,0.0,0.00295,.0,.0,0.00164,0.0,0.0
3,0.0,0.02000,0.00282,0.00707,0.00397,0.00056,0.00351,0.00604,0.00085
4,0.0,0.04000,0.00565,0.01287,0.00894,0.00126,0.00368,0.00015,0.00002
5,0.0,0.03000,0.00424,0.01940,0.00904,0.00127,0.00491,0.00161,0.00022
6,0.0,0.0,0.0,0.02793,0.01413,0.00199,0.00639,0.00492,0.00069
7,0.0,0.03000,0.00424,0.03746,0.01536,0.00217,0.00622,0.00329,0.00046
8,0.0,0.03000,0.00424,0.04778,0.01223,0.00172,0.00767,0.00032,0.00004
9,0.00199,0.06161,0.00871,0.03740,0.01923,0.00271,0.02432,0.01808,0.00255
10,0.00500,0.14603,0.02065,0.02675,0.03398,0.00480,0.01530,0.00692,0.00097
11,0.00200,0.06321,0.00893,0.05971,0.03237,0.00457,0.02497,0.01005,0.00142
12,0.00000,0.10583,0.01496,0.08359,0.03007,0.00425,0.01377,0.01807,0.00255
13,0.00000,0.11489,0.01624,0.10540,0.03097,0.00438,0.01442,0.01106,0.00156
14,0.00000,0.04000,0.00565,0.12518,0.02862,0.00404,0.01125,0.01251,0.00177
15,0.0,0.08999,0.01272,0.13800,0.02953,0.00417,0.00570,0.01298,0.00183
16,0.00000,0.11747,0.01661,0.14570,0.03273,0.00462,0.00358,0.01525,0.00215
17,0.00000,0.08000,0.01131,0.14844,0.03452,0.00488,0.00021,0.01409,0.00199
18,0.00000,0.07000,0.00989,0.15006,0.03774,0.00533,0.00216,0.00995,0.00140
19,0.00000,0.06480,0.00916,0.15661,0.04244,0.00600,0.00713,0.00912,0.00128
20,0.00199,0.05741,0.00811,0.16054,0.04310,0.00609,0.00174,0.01107,0.00156
21,0.00099,0.06744,0.00953,0.15844,0.04177,0.00590,0.00021,0.01430,0.00202
22,0.00000,0.11180,0.01581,0.15768,0.04278,0.00605,0.00107,0.01702,0.00240
23,0.00099,0.13837,0.01956,0.15737,0.04597,0.00650,0.00123,0.01212,0.00171
24,0.00000,0.08888,0.01256,0.15944,0.05045,0.00713,0.00251,0.01121,0.00158
25,0.00000,0.05830,0.00824,0.16277,0.05046,0.00713,0.00208,0.01137,0.00160
26,0.00500,0.06500,0.00919,0.16517,0.04859,0.00687,0.00147,0.01337,0.00189
27,0.00299,0.08567,0.01211,0.16505,0.04698,0.00664,0.00111,0.01471,0.00208
28,0.00200,0.09325,0.01318,0.16376,0.04624,0.00654,0.00020,0.01422,0.00201
29,0.00500,0.10259,0.01450,0.16141,0.04722,0.00667,0.00343,0.01454,0.00205
30,0.00500,0.09447,0.01336,0.15963,0.04746,0.00671,0.00234,0.01365,0.00193
