Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.01500,0.39220,0.05546,0.04928,0.00703,0.00099,0.08161,0.01191,0.00168
2,0.01999,0.43023,0.06084,0.21712,0.03234,0.00457,0.18025,0.04142,0.00585
3,0.00499,0.71360,0.10091,0.35950,0.06314,0.00893,0.05399,0.03019,0.00426
4,0.00000,0.69849,0.09878,0.39739,0.06366,0.00900,0.04305,0.04110,0.00581
5,0.00000,0.78108,0.11046,0.36307,0.07168,0.01013,0.05355,0.03523,0.00498
6,0.00300,0.81310,0.11499,0.29891,0.07209,0.01019,0.03836,0.04355,0.00616
7,0.02000,0.99211,0.14030,0.26768,0.07709,0.01090,0.00644,0.04253,0.00601
8,0.01999,0.90950,0.12862,0.24258,0.06255,0.00884,0.01392,0.04908,0.00694
9,0.00300,0.98088,0.13871,0.22869,0.06389,0.00903,0.00773,0.05817,0.00822
10,0.00700,0.93016,0.13154,0.21830,0.07975,0.01127,0.00249,0.04168,0.00589
11,0.02000,0.90664,0.12821,0.21736,0.08657,0.01224,0.00389,0.05300,0.00749
12,0.01499,0.76073,0.10758,0.21458,0.09206,0.01302,0.00131,0.04820,0.00681
13,0.00499,0.69708,0.09858,0.22901,0.08252,0.01167,0.01306,0.04297,0.00607
14,0.01000,0.80734,0.11417,0.22425,0.06799,0.00961,0.01324,0.04223,0.00597
15,0.00999,0.86890,0.12288,0.22117,0.06515,0.00921,0.00341,0.03769,0.00533
16,0.00799,0.83248,0.11773,0.22736,0.06165,0.00871,0.00931,0.04696,0.00664
17,0.00499,0.72823,0.10298,0.23080,0.06871,0.00971,0.00060,0.04728,0.00668
18,0.00199,0.79353,0.11222,0.22970,0.09111,0.01288,0.00191,0.03813,0.00539
19,0.00000,0.81908,0.11583,0.23397,0.08642,0.01222,0.00706,0.04192,0.00592
20,0.00000,0.84923,0.12009,0.23948,0.08081,0.01142,0.00248,0.03672,0.00519
21,0.00000,0.82692,0.11694,0.23188,0.07480,0.01057,0.01062,0.03817,0.00539
22,0.00000,0.82091,0.11609,0.22531,0.07596,0.01074,0.00287,0.04377,0.00619
23,0.00000,0.86162,0.12185,0.22361,0.08145,0.01151,0.00401,0.03497,0.00494
24,0.00000,0.76922,0.10878,0.23396,0.07624,0.01078,0.01174,0.04198,0.00593
25,0.0,0.78993,0.11171,0.23489,0.07631,0.01079,0.00648,0.02268,0.00320
26,0.00000,0.89224,0.12618,0.23313,0.07231,0.01022,0.00010,0.04497,0.00636
27,0.00000,0.67801,0.09588,0.23173,0.06969,0.00985,0.00127,0.03510,0.00496
28,0.00000,0.72518,0.10255,0.23308,0.06621,0.00936,0.00548,0.03652,0.00516
29,0.00000,0.86614,0.12249,0.23641,0.06726,0.00951,0.00056,0.03515,0.00497
30,0.00000,0.92994,0.13151,0.23316,0.06963,0.00984,0.00539,0.03998,0.00565
31,0.00000,0.81529,0.11529,0.22838,0.07155,0.01011,0.00429,0.04006,0.00566
32,0.00000,0.78968,0.11167,0.22646,0.06470,0.00915,0.00399,0.03905,0.00552
33,0.00000,0.81822,0.11571,0.23311,0.06305,0.00891,0.00879,0.03941,0.00557
34,0.00200,0.82667,0.11690,0.23462,0.07543,0.01066,0.00060,0.07050,0.00997
35,0.00500,0.67670,0.09570,0.24069,0.12076,0.01707,0.01647,0.08932,0.01263
36,0.00299,0.70953,0.10034,0.25216,0.12920,0.01827,0.02298,0.10307,0.01457
37,0.00000,0.63245,0.08944,0.25089,0.12935,0.01829,0.00729,0.10245,0.01449
38,0.00000,0.76661,0.10841,0.25009,0.12743,0.01802,0.01673,0.10215,0.01444
39,0.0,0.74330,0.10511,0.25370,0.12621,0.01784,0.01743,0.09728,0.01375
40,0.00000,0.71133,0.10059,0.25528,0.12746,0.01802,0.01188,0.09423,0.01332
41,0.00000,0.67779,0.09585,0.25564,0.13117,0.01855,0.01383,0.08423,0.01191
42,0.00000,0.69097,0.09871,0.24271,0.05703,0.00814,0.00194,0.03690,0.00527
43,0.00000,0.72611,0.10373,0.24107,0.06734,0.00962,0.00043,0.03003,0.00429
44,0.00000,0.75484,0.10783,0.24965,0.06624,0.00946,0.01075,0.03528,0.00504
45,0.00000,0.58684,0.08383,0.25182,0.06064,0.00866,0.00227,0.03079,0.00439
46,0.00000,0.64988,0.09284,0.25338,0.05721,0.00817,0.00151,0.03608,0.00515
47,0.00000,0.76191,0.10884,0.24759,0.05644,0.00806,0.00437,0.03679,0.00525
48,0.00000,0.67619,0.09659,0.24950,0.05546,0.00792,0.00288,0.03418,0.00488
49,0.00000,0.57347,0.08192,0.24308,0.05347,0.00763,0.00770,0.03491,0.00498
50,0.00000,0.55328,0.07904,0.24278,0.05827,0.00832,0.00108,0.02425,0.00346
51,0.0,0.59074,0.08439,0.24201,0.05309,0.00758,0.00160,0.02956,0.00422
52,0.00000,0.52430,0.07490,0.24430,0.05257,0.00751,0.00251,0.01916,0.00273
53,0.00204,0.49999,0.07142,0.24788,0.05169,0.00738,0.00381,0.02599,0.00371
54,0.00510,0.53425,0.07632,0.25224,0.05282,0.00754,0.00203,0.01894,0.00270
